00GL               20210204                                                                                   
0601GLA0N       20210101000000100000120000 0000000104000000   
0601GLA0N       20210101000120100000005000 0000000104000000   
0601GLA0N       20210101000125100000005000 0000000104000000   
0601GLA0N       20210101000130100000005000 0000000104000000   
0601GLA0N       20210101000135100000005000 0000000104000000   
0601GLA0N       20210101000140100000005000 0000000104000000   
0601GLA0N       20210101000145100000005000 0000000104000095   
0601GLA0N       20210101000150100000005000 0000000104000118   
0601GLA0N       20210101000155100000005000 0000000104000140   
0601GLA0N       20210101000160100000005000 0000000104000160   
0601GLA0N       20210101000165100000005000 0000000104000185   
0601GLA0N       20210101000170100000005000 0000000104000203   
0601GLA0N       20210101000175100000005000 0000000104000220   
0601GLA0N       20210101000180100000005000 0000000104000236   
0601GLA0N       20210101000185100000005000 0000000104000251   
0601GLA0N       20210101000190100000005000 0000000104000265   
0601GLA0N       20210101000195100000005000 0000000104000278   
0601GLA0N       20210101000200100000005000 0000000104000291   
0601GLA0N       20210101000205100000005000 0000000104000304   
0601GLA0N       20210101000210100000005000 0000000104000315   
0601GLA0N       20210101000215100000005000 0000000104000322   
0601GLA0N       20210101000220100000005000 0000000104000333   
0601GLA0N       20210101000225100000005000 0000000104000352   
0601GLA0N       20210101000230100000005000 0000000104000361   
0601GLA0N       20210101000235100000005000 0000000104000375   
0601GLA0N       20210101000240100000005000 0000000104000384   
0601GLA0N       20210101000245100000005000 0000000104000400   
0601GLA0N       20210101000250100000005000 0000000104000416   
0601GLA0N       20210101000255100000005000 0000000104000427   
0601GLA0N       20210101000260100000005000 0000000104000442   
0601GLA0N       20210101000265100000005000 0000000104000456   
0601GLA0N       20210101000270100000005000 0000000104000473   
0601GLA0N       20210101000275100000005000 0000000104000483   
0601GLA0N       20210101000280100000005000 0000000104000496   
0601GLA0N       20210101000285100000005000 0000000104000508   
0601GLA0N       20210101000290100000005000 0000000104000520   
0601GLA0N       20210101000295100000005000 0000000104000528   
0601GLA0N       20210101000300100000005000 0000000104000539   
0601GLA0N       20210101000305100000005000 0000000104000550   
0601GLA0N       20210101000310100000005000 0000000104000560   
0601GLA0N       20210101000315100000005000 0000000104000567   
0601GLA0N       20210101000320100000005000 0000000104000577   
0601GLA0N       20210101000325100000005000 0000000104000586   
0601GLA0N       20210101000330100000005000 0000000104000595   
0601GLA0N       20210101000335100000005000 0000000104000601   
0601GLA0N       20210101000340100000005000 0000000104000613   
0601GLA0N       20210101000345100000005000 0000000104000622   
0601GLA0N       20210101000350100000005000 0000000104000633   
0601GLA0N       20210101000355100000005000 0000000104000643   
0601GLA0N       20210101000360100000005000 0000000104000654   
0601GLA0N       20210101000365100000005000 0000000104000661   
0601GLA0N       20210101000370100000005000 0000000104000671   
0601GLA0N       20210101000375100000005000 0000000104000681   
0601GLA0N       20210101000380100000005000 0000000104000693   
0601GLA0N       20210101000385100000005000 0000000104000702   
0601GLA0N       20210101000390100000005000 0000000104000711   
0601GLA0N       20210101000395100000005000 0000000104000717   
0601GLA0N       20210101000400100000005000 0000000104000725   
0601GLA0N       20210101000405100000005000 0000000104000734   
0601GLA0N       20210101000410100000005000 0000000104000742   
0601GLA0N       20210101000415100000005000 0000000104000747   
0601GLA0N       20210101000420100000005000 0000000104000755   
0601GLA0N       20210101000425100000005000 0000000104000763   
0601GLA0N       20210101000430100000005000 0000000104000770   
0601GLA0N       20210101000435100000005000 0000000104000777   
0601GLA0N       20210101000440100000005000 0000000104000782   
0601GLA0N       20210101000445100000005000 0000000104000789   
0601GLA0N       20210101000450100000005000 0000000104000796   
0601GLA0N       20210101000455100000005000 0000000104000802   
0601GLA0N       20210101000460100000005000 0000000104000809   
0601GLA0N       20210101000465100000005000 0000000104000813   
0601GLA0N       20210101000470100000005000 0000000104000821   
0601GLA0N       20210101000475100000005000 0000000104000831   
0601GLA0N       20210101000480100000005000 0000000104000837   
0601GLA0N       20210101000485100000005000 0000000104000845   
0601GLA0N       20210101000490100000005000 0000000104000851   
0601GLA0N       20210101000495100000005000 0000000104000858   
0601GLA0N       20210101000500100000005000 0000000104000868   
0601GLA0N       20210101000505100000005000 0000000104000873   
0601GLA0N       20210101000510100000005000 0000000104000880   
0601GLA0N       20210101000515100000005000 0000000104000885   
0601GLA0N       20210101000520100000005000 0000000104000894   
0601GLA0N       20210101000525100000005000 0000000104000900   
0601GLA0N       20210101000530100000005000 0000000104000905   
0601GLA0N       20210101000535100000005000 0000000104000912   
0601GLA0N       20210101000540100000005000 0000000104000922   
0601GLA0N       20210101000545100000005000 0000000104000930   
0601GLA0N       20210101000550100000005000 0000000104000936   
0601GLA0N       20210101000555100000005000 0000000104000943   
0601GLA0N       20210101000560100000005000 0000000104000949   
0601GLA0N       20210101000565100000005000 0000000104000957   
0601GLA0N       20210101000570100000005000 0000000104000962   
0601GLA0N       20210101000575100000005000 0000000104000970   
0601GLA0N       20210101000580100000005000 0000000104000975   
0601GLA0N       20210101000585100000005000 0000000104000982   
0601GLA0N       20210101000590100000005000 0000000104000987   
0601GLA0N       20210101000595100000005000 0000000104000994   
0601GLA0N       20210101000600100000005000 0000000104001002   
0601GLA0N       20210101000605100000005000 0000000104001009   
0601GLA0N       20210101000610100000005000 0000000104001014   
0601GLA0N       20210101000615100000005000 0000000104001020   
0601GLA0N       20210101000620100000005000 0000000104001025   
0601GLA0N       20210101000625100000005000 0000000104001031   
0601GLA0N       20210101000630100000005000 0000000104001037   
0601GLA0N       20210101000635100000005000 0000000104001042   
0601GLA0N       20210101000640100000005000 0000000104001047   
0601GLA0N       20210101000645100000005000 0000000104001053   
0601GLA0N       20210101000650100000005000 0000000104001057   
0601GLA0N       20210101000655100000005000 0000000104001063   
0601GLA0N       20210101000660100000005000 0000000104001069   
0601GLA0N       20210101000665100000005000 0000000104001073   
0601GLA0N       20210101000670100000005000 0000000104001078   
0601GLA0N       20210101000675100000005000 0000000104001083   
