00OW               20221108                                                                                   
0601OWA0N       20230101000685100000005000 0000000030000991   
0601OWA0N       20230101000690100000005000 0000000030000994   
0601OWA0N       20230101000695100000005000 0000000030000998   
0601OWA0N       20230101000700100000005000 0000000030001002   
0601OWA0N       20230101000705100000005000 0000000030001005   
0601OWA0N       20230101000710100000005000 0000000030001008   
0601OWA0N       20230101000715100000005000 0000000030001010   
0601OWA0N       20230101000720100000005000 0000000030001015   
0601OWA0N       20230101000725100000005000 0000000030001019   
0601OWA0N       20230101000730100000005000 0000000030001021   
0601OWA0N       20230101000735100000005000 0000000030001024   
0601OWA0N       20230101000740100000005000 0000000030001026   
0601OWA0N       20230101000745100000005000 0000000030001030   
0601OWA0N       20230101000750100000005000 0000000030001033   
0601OWA0N       20230101000755100000005000 0000000030001036   
0601OWA0N       20230101000760100000005000 0000000030001039   
0601OWA0N       20230101000765100000005000 0000000030001041   
0601OWA0N       20230101000770100000005000 0000000030001045   
0601OWA0N       20230101000775100000005000 0000000030001047   
0601OWA0N       20230101000780100000005000 0000000030001050   
0601OWA0N       20230101000785100000005000 0000000030001053   
0601OWA0N       20230101000790100000005000 0000000030001056   
0601OWA0N       20230101000795100000005000 0000000030001058   
0601OWA0N       20230101000800100000005000 0000000030001063   
0601OWA0N       20230101000805100000005000 0000000030001067   
0601OWA0N       20230101000810100000005000 0000000030001072   
0601OWA0N       20230101000815100000005000 0000000030001075   
0601OWA0N       20230101000820100000005000 0000000030001080   
0601OWA0N       20230101000825100000005000 0000000030001083   
0601OWA0N       20230101000830100000005000 0000000030001088   
0601OWA0N       20230101000835100000005000 0000000030001091   
0601OWA0N       20230101000840100000005000 0000000030001094   
0601OWA0N       20230101000845100000005000 0000000030001099   
0601OWA0N       20230101000850100000005000 0000000030001101   
0601OWA0N       20230101000855100000005000 0000000030001107   
0601OWA0N       20230101000860100000005000 0000000030001111   
0601OWA0N       20230101000865100000005000 0000000030001115   
0601OWA0N       20230101000870100000005000 0000000030001117   
0601OWA0N       20230101000875100000005000 0000000030001121   
0601OWA0N       20230101000880100000005000 0000000030001126   
0601OWA0N       20230101000885100000005000 0000000030001129   
0601OWA0N       20230101000890100000005000 0000000030001133   
0601OWA0N       20230101000895100000005000 0000000030001136   
0601OWA0N       20230101000900100000005000 0000000030001139   
0601OWA0N       20230101000905100000005000 0000000030001144   
0601OWA0N       20230101000910100000005000 0000000030001147   
0601OWA0N       20230101000915100000005000 0000000030001151   
0601OWA0N       20230101000920100000005000 0000000030001153   
0601OWA0N       20230101000925100000005000 0000000030001157   
0601OWA0N       20230101000930100000005000 0000000030001161   
0601OWA0N       20230101000935100000005000 0000000030001165   
0601OWA0N       20230101000940100000005000 0000000030001167   
0601OWA0N       20230101000945100000005000 0000000030001170   
0601OWA0N       20230101000950100000005000 0000000030001174   
0601OWA0N       20230101000955100000005000 0000000030001177   
0601OWA0N       20230101000960100000005000 0000000030001180   
0601OWA0N       20230101000965100000005000 0000000030001183   
0601OWA0N       20230101000970100000005000 0000000030001186   
0601OWA0N       20230101000975100000005000 0000000030001189   
0601OWA0N       20230101000980100000005000 0000000030001193   
0601OWA0N       20230101000985100000005000 0000000030001196   
0601OWA0N       20230101000990100000005000 0000000030001198   
0601OWA0N       20230101000995100000005000 0000000030001201   
0601OWA0N       20230101001000100000005000 0000000030001204   
0601OWA0N       20230101001005100000005000 0000000030001206   
0601OWA0N       20230101001010100000005000 0000000030001210   
0601OWA0N       20230101001015100000005000 0000000030001213   
0601OWA0N       20230101001020100000005000 0000000030001216   
0601OWA0N       20230101001025100000005000 0000000030001218   
0601OWA0N       20230101001030100000005000 0000000030001220   
0601OWA0N       20230101001035100000005000 0000000030001224   
0601OWA0N       20230101001040100000005000 0000000030001226   
0601OWA0N       20230101001045100000005000 0000000030001229   
0601OWA0N       20230101001050100000005000 0000000030001231   
0601OWA0N       20230101001055100000005000 0000000030001233   
0601OWA0N       20230101001060100000005000 0000000030001237   
0601OWA0N       20230101001065100000005000 0000000030001239   
0601OWA0N       20230101001070100000005000 0000000030001242   
0601OWA0N       20230101001075100000005000 0000000030001244   
0601OWA0N       20230101001080100000005000 0000000030001246   
0601OWA0N       20230101001085100000005000 0000000030001250   
0601OWA0N       20230101001090100000005000 0000000030001252   
0601OWA0N       20230101001095100000005000 0000000030001255   
0601OWA0N       20230101001100100000005000 0000000030001256   
0601OWA0N       20230101001105100000005000 0000000030001259   
0601OWA0N       20230101001110100000005000 0000000030001263   
0601OWA0N       20230101001115100000005000 0000000030001265   
0601OWA0N       20230101001120100000005000 0000000030001269   
0601OWA0N       20230101001125100000005000 0000000030001271   
0601OWA0N       20230101001130100000005000 0000000030001274   
0601OWA0N       20230101001135100000005000 0000000030001278   
0601OWA0N       20230101001140100000005000 0000000030001281   
0601OWA0N       20230101001145100000005000 0000000030001285   
0601OWA0N       20230101001150100000005000 0000000030001287   
0601OWA0N       20230101001155100000005000 0000000030001290   
0601OWA0N       20230101001160100000005000 0000000030001294   
0601OWA0N       20230101001165100000005000 0000000030001297   
0601OWA0N       20230101001170100000005000 0000000030001299   
0601OWA0N       20230101001175100000005000 0000000030001302   
0601OWA0N       20230101001180100000005000 0000000030001305   
0601OWA0N       20230101001185100000005000 0000000030001309   
0601OWA0N       20230101001190100000005000 0000000030001312   
0601OWA0N       20230101001195100000005000 0000000030001314   
0601OWA0N       20230101001200100000005000 0000000030001316   
0601OWA0N       20230101001205100000005000 0000000030001319   
0601OWA0N       20230101001210100000005000 0000000030001323   
0601OWA0N       20230101001215100000005000 0000000030001326   
0601OWA0N       20230101001220100000005000 0000000030001328   
0601OWA0N       20230101001225100000005000 0000000030001330   
0601OWA0N       20230101001230100000005000 0000000030001332   
0601OWA0N       20230101001235100000005000 0000000030001337   
0601OWA0N       20230101001240100000005000 0000000030001339   
0601OWA0N       20230101001245100000005000 0000000030001341   
0601OWA0N       20230101001250100000005000 0000000030001344   
0601OWA0N       20230101001255100000005000 0000000030001347   
0601OWA0N       20230101001260100000005000 0000000030001350   
0601OWA0N       20230101001265100000005000 0000000030001351   
0601OWA0N       20230101001270100000005000 0000000030001356   
0601OWA0N       20230101001275100000005000 0000000030001358   
0601OWA0N       20230101001280100000005000 0000000030001360   
0601OWA0N       20230101001285100000005000 0000000030001362   
0601OWA0N       20230101001290100000005000 0000000030001366   
0601OWA0N       20230101001295100000005000 0000000030001368   
0601OWA0N       20230101001300100000005000 0000000030001370   
0601OWA0N       20230101001305100000005000 0000000030001374   
0601OWA0N       20230101001310100000005000 0000000030001375   
0601OWA0N       20230101001315100000005000 0000000030001378   
0601OWA0N       20230101001320100000005000 0000000030001381   
0601OWA0N       20230101001325100000005000 0000000030001383   
0601OWA0N       20230101001330100000005000 0000000030001385   
0601OWA0N       20230101001335100000005000 0000000030001387   
0601OWA0N       20230101001340100000005000 0000000030001391   
0601OWA0N       20230101001345100000005000 0000000030001392   
0601OWA0N       20230101001350100000005000 0000000030001394   
0601OWA0N       20230101001355100000005000 0000000030001398   
0601OWA0N       20230101001360100000005000 0000000030001400   
0601OWA0N       20230101001365100000005000 0000000030001402   
0601OWA0N       20230101001370100000005000 0000000030001403   
0601OWA0N       20230101001375100000005000 0000000030001407   
0601OWA0N       20230101001380100000005000 0000000030001408   
0601OWA0N       20230101001385100000005000 0000000030001410   
0601OWA0N       20230101001390100000005000 0000000030001414   
0601OWA0N       20230101001395100000005000 0000000030001415   
0601OWA0N       20230101001400100000005000 0000000030001417   
0601OWA0N       20230101001405100000005000 0000000030001419   
0601OWA0N       20230101001410100000005000 0000000030001422   
0601OWA0N       20230101001415100000005000 0000000030001425   
0601OWA0N       20230101001420100000005000 0000000030001427   
0601OWA0N       20230101001425100000005000 0000000030001431   
0601OWA0N       20230101001430100000005000 0000000030001433   
0601OWA0N       20230101001435100000005000 0000000030001436   
0601OWA0N       20230101001440100000005000 0000000030001439   
0601OWA0N       20230101001445100000005000 0000000030001442   
0601OWA0N       20230101001450100000005000 0000000030001444   
0601OWA0N       20230101001455100000005000 0000000030001446   
0601OWA0N       20230101001460100000005000 0000000030001450   
0601OWA0N       20230101001465100000005000 0000000030001452   
0601OWA0N       20230101001470100000005000 0000000030001454   
0601OWA0N       20230101001475100000005000 0000000030001458   
0601OWA0N       20230101001480100000005000 0000000030001460   
0601OWA0N       20230101001485100000005000 0000000030001462   
0601OWA0N       20230101001490100000005000 0000000030001465   
0601OWA0N       20230101001495100000005000 0000000030001468   
0601OWA0N       20230101001500100000500000 0000000030001577   
0601OWA0N       20230101002000100000500000 0000000030001758   
0601OWA0N       20230101002500100000500000 0000000030001878   
0601OWA0N       20230101003000100000500000 0000000030001962   
0601OWA0N       20230101003500100000500000 0000000030002023   
0601OWA0N       20230101004000100000500000 0000000030002069   
0601OWA0N       20230101004500100000500000 0000000030002106   
0601OWA0N       20230101005000100000500000 0000000030002135   
0601OWA0N       20230101005500100000500000 0000000030002160   
0601OWA0N       20230101006000100000500000 0000000030002181   
0601OWA0N       20230101006500100000500000 0000000030002199   
0601OWA0N       20230101007000100000500000 0000000030002214   
0601OWA0N       20230101007500100000500000 0000000030002220   
0601OWA0N       20230101008000100000500000 0000000030002223   
0601OWA0N       20230101008500100000500000 0000000030002225   
0601OWA0N       20230101009000100000500000 0000000030002228   
0601OWA0N       20230101009500100000500000 0000000030002230   
0601OWA1N       20230101000000100000040000 0100000030000000   
0601OWA1N       20230101000040100000005000 0100000030000071   
0601OWA1N       20230101000045100000005000 0100000030000063   
0601OWA1N       20230101000050100000005000 0100000030000057   
0601OWA1N       20230101000055100000005000 0100000030000052   
0601OWA1N       20230101000060100000005000 0100000030000048   
0601OWA1N       20230101000065100000005000 0100000030000044   
0601OWA1N       20230101000070100000005000 0100000030000041   
0601OWA1N       20230101000075100000005000 0100000030000039   
0601OWA1N       20230101000080100000005000 0100000030000036   
0601OWA1N       20230101000085100000005000 0100000030000034   
0601OWA1N       20230101000090100000005000 0100000030000032   
0601OWA1N       20230101000095100000005000 0100000030000031   
0601OWA1N       20230101000100100000005000 0100000030000029   
0601OWA1N       20230101000105100000005000 0100000030000028   
0601OWA1N       20230101000110100000005000 0100000030000027   
0601OWA1N       20230101000115100000005000 0100000030000026   
0601OWA1N       20230101000120100000005000 0100000030000024   
0601OWA1N       20230101000125100000005000 0100000030000024   
0601OWA1N       20230101000130100000005000 0100000030000023   
0601OWA1N       20230101000135100000005000 0100000030000022   
0601OWA1N       20230101000140100000005000 0100000030000021   
0601OWA1N       20230101000145100000005000 0100000030000020   
0601OWA1N       20230101000150100000005000 0100000030000020   
0601OWA1N       20230101000155100000005000 0100000030000019   
0601OWA1N       20230101000160100000005000 0100000030000018   
0601OWA1N       20230101000165100000005000 0100000030000018   
0601OWA1N       20230101000170100000005000 0100000030000017   
0601OWA1N       20230101000175100000005000 0100000030000017   
0601OWA1N       20230101000180100000005000 0100000030000016   
0601OWA1N       20230101000185100000005000 0100000030000016   
0601OWA1N       20230101000190100000005000 0100000030000016   
0601OWA1N       20230101000195100000005000 0100000030000015   
0601OWA1N       20230101000200100000005000 0100000030000015   
0601OWA1N       20230101000205100000005000 0100000030000014   
0601OWA1N       20230101000210100000005000 0100000030000014   
0601OWA1N       20230101000215100000005000 0100000030000014   
0601OWA1N       20230101000220100000005000 0100000030000013   
0601OWA1N       20230101000225100000005000 0100000030000013   
0601OWA1N       20230101000230100000005000 0100000030000013   
0601OWA1N       20230101000235100000005000 0100000030000013   
0601OWA1N       20230101000240100000005000 0100000030000012   
0601OWA1N       20230101000245100000005000 0100000030000012   
0601OWA1N       20230101000250100000005000 0100000030000012   
0601OWA1N       20230101000255100000005000 0100000030000012   
0601OWA1N       20230101000260100000005000 0100000030000011   
0601OWA1N       20230101000265100000005000 0100000030000011   
0601OWA1N       20230101000270100000005000 0100000030000026   
0601OWA1N       20230101000275100000005000 0100000030000047   
0601OWA1N       20230101000280100000005000 0100000030000067   
0601OWA1N       20230101000285100000005000 0100000030000087   
0601OWA1N       20230101000290100000005000 0100000030000106   
0601OWA1N       20230101000295100000005000 0100000030000124   
0601OWA1N       20230101000300100000005000 0100000030000139   
0601OWA1N       20230101000305100000005000 0100000030000163   
0601OWA1N       20230101000310100000005000 0100000030000176   
0601OWA1N       20230101000315100000005000 0100000030000202   
0601OWA1N       20230101000320100000005000 0100000030000217   
0601OWA1N       20230101000325100000005000 0100000030000232   
0601OWA1N       20230101000330100000005000 0100000030000250   
0601OWA1N       20230101000335100000005000 0100000030000264   
0601OWA1N       20230101000340100000005000 0100000030000280   
0601OWA1N       20230101000345100000005000 0100000030000294   
0601OWA1N       20230101000350100000005000 0100000030000309   
0601OWA1N       20230101000355100000005000 0100000030000322   
0601OWA1N       20230101000360100000005000 0100000030000334   
0601OWA1N       20230101000365100000005000 0100000030000346   
0601OWA1N       20230101000370100000005000 0100000030000360   
0601OWA1N       20230101000375100000005000 0100000030000374   
0601OWA1N       20230101000380100000005000 0100000030000384   
0601OWA1N       20230101000385100000005000 0100000030000397   
0601OWA1N       20230101000390100000005000 0100000030000408   
0601OWA1N       20230101000395100000005000 0100000030000418   
0601OWA1N       20230101000400100000005000 0100000030000427   
0601OWA1N       20230101000405100000005000 0100000030000439   
0601OWA1N       20230101000410100000005000 0100000030000451   
0601OWA1N       20230101000415100000005000 0100000030000460   
0601OWA1N       20230101000420100000005000 0100000030000471   
0601OWA1N       20230101000425100000005000 0100000030000480   
0601OWA1N       20230101000430100000005000 0100000030000488   
0601OWA1N       20230101000435100000005000 0100000030000498   
0601OWA1N       20230101000440100000005000 0100000030000511   
0601OWA1N       20230101000445100000005000 0100000030000518   
0601OWA1N       20230101000450100000005000 0100000030000530   
0601OWA1N       20230101000455100000005000 0100000030000540   
0601OWA1N       20230101000460100000005000 0100000030000547   
0601OWA1N       20230101000465100000005000 0100000030000558   
0601OWA1N       20230101000470100000005000 0100000030000567   
0601OWA1N       20230101000475100000005000 0100000030000578   
0601OWA1N       20230101000480100000005000 0100000030000584   
0601OWA1N       20230101000485100000005000 0100000030000595   
0601OWA1N       20230101000490100000005000 0100000030000603   
0601OWA1N       20230101000495100000005000 0100000030000609   
0601OWA1N       20230101000500100000005000 0100000030000619   
0601OWA1N       20230101000505100000005000 0100000030000627   
0601OWA1N       20230101000510100000005000 0100000030000636   
0601OWA1N       20230101000515100000005000 0100000030000642   
0601OWA1N       20230101000520100000005000 0100000030000651   
0601OWA1N       20230101000525100000005000 0100000030000658   
0601OWA1N       20230101000530100000005000 0100000030000663   
0601OWA1N       20230101000535100000005000 0100000030000672   
0601OWA1N       20230101000540100000005000 0100000030000678   
0601OWA1N       20230101000545100000005000 0100000030000687   
0601OWA1N       20230101000550100000005000 0100000030000691   
0601OWA1N       20230101000555100000005000 0100000030000701   
0601OWA1N       20230101000560100000005000 0100000030000709   
0601OWA1N       20230101000565100000005000 0100000030000715   
0601OWA1N       20230101000570100000005000 0100000030000723   
0601OWA1N       20230101000575100000005000 0100000030000731   
0601OWA1N       20230101000580100000005000 0100000030000736   
0601OWA1N       20230101000585100000005000 0100000030000742   
0601OWA1N       20230101000590100000005000 0100000030000748   
0601OWA1N       20230101000595100000005000 0100000030000753   
0601OWA1N       20230101000600100000005000 0100000030000760   
0601OWA1N       20230101000605100000005000 0100000030000767   
0601OWA1N       20230101000610100000005000 0100000030000772   
0601OWA1N       20230101000615100000005000 0100000030000777   
0601OWA1N       20230101000620100000005000 0100000030000782   
0601OWA1N       20230101000625100000005000 0100000030000789   
0601OWA1N       20230101000630100000005000 0100000030000794   
0601OWA1N       20230101000635100000005000 0100000030000798   
0601OWA1N       20230101000640100000005000 0100000030000803   
0601OWA1N       20230101000645100000005000 0100000030000808   
0601OWA1N       20230101000650100000005000 0100000030000814   
0601OWA1N       20230101000655100000005000 0100000030000818   
0601OWA1N       20230101000660100000005000 0100000030000823   
0601OWA1N       20230101000665100000005000 0100000030000827   
0601OWA1N       20230101000670100000005000 0100000030000831   
0601OWA1N       20230101000675100000005000 0100000030000837   
0601OWA1N       20230101000680100000005000 0100000030000841   
0601OWA1N       20230101000685100000005000 0100000030000845   
0601OWA1N       20230101000690100000005000 0100000030000851   
0601OWA1N       20230101000695100000005000 0100000030000854   
0601OWA1N       20230101000700100000005000 0100000030000860   
0601OWA1N       20230101000705100000005000 0100000030000864   
0601OWA1N       20230101000710100000005000 0100000030000867   
0601OWA1N       20230101000715100000005000 0100000030000872   
0601OWA1N       20230101000720100000005000 0100000030000876   
0601OWA1N       20230101000725100000005000 0100000030000881   
0601OWA1N       20230101000730100000005000 0100000030000885   
0601OWA1N       20230101000735100000005000 0100000030000888   
0601OWA1N       20230101000740100000005000 0100000030000893   
0601OWA1N       20230101000745100000005000 0100000030000896   
0601OWA1N       20230101000750100000005000 0100000030000900   
0601OWA1N       20230101000755100000005000 0100000030000904   
0601OWA1N       20230101000760100000005000 0100000030000908   
0601OWA1N       20230101000765100000005000 0100000030000912   
0601OWA1N       20230101000770100000005000 0100000030000915   
0601OWA1N       20230101000775100000005000 0100000030000918   
0601OWA1N       20230101000780100000005000 0100000030000923   
0601OWA1N       20230101000785100000005000 0100000030000927   
0601OWA1N       20230101000790100000005000 0100000030000930   
0601OWA1N       20230101000795100000005000 0100000030000933   
0601OWA1N       20230101000800100000005000 0100000030000936   
0601OWA1N       20230101000805100000005000 0100000030000940   
0601OWA1N       20230101000810100000005000 0100000030000944   
0601OWA1N       20230101000815100000005000 0100000030000947   
0601OWA1N       20230101000820100000005000 0100000030000950   
0601OWA1N       20230101000825100000005000 0100000030000952   
0601OWA1N       20230101000830100000005000 0100000030000956   
0601OWA1N       20230101000835100000005000 0100000030000960   
0601OWA1N       20230101000840100000005000 0100000030000963   
0601OWA1N       20230101000845100000005000 0100000030000965   
0601OWA1N       20230101000850100000005000 0100000030000968   
0601OWA1N       20230101000855100000005000 0100000030000971   
0601OWA1N       20230101000860100000005000 0100000030000975   
0601OWA1N       20230101000865100000005000 0100000030000978   
0601OWA1N       20230101000870100000005000 0100000030000981   
0601OWA1N       20230101000875100000005000 0100000030000986   
0601OWA1N       20230101000880100000005000 0100000030000990   
0601OWA1N       20230101000885100000005000 0100000030000995   
0601OWA1N       20230101000890100000005000 0100000030000998   
0601OWA1N       20230101000895100000005000 0100000030001002   
0601OWA1N       20230101000900100000005000 0100000030001006   
0601OWA1N       20230101000905100000005000 0100000030001010   
0601OWA1N       20230101000910100000005000 0100000030001015   
0601OWA1N       20230101000915100000005000 0100000030001018   
0601OWA1N       20230101000920100000005000 0100000030001022   
0601OWA1N       20230101000925100000005000 0100000030001025   
0601OWA1N       20230101000930100000005000 0100000030001031   
0601OWA1N       20230101000935100000005000 0100000030001035   
0601OWA1N       20230101000940100000005000 0100000030001038   
0601OWA1N       20230101000945100000005000 0100000030001042   
0601OWA1N       20230101000950100000005000 0100000030001046   
0601OWA1N       20230101000955100000005000 0100000030001051   
0601OWA1N       20230101000960100000005000 0100000030001054   
0601OWA1N       20230101000965100000005000 0100000030001057   
0601OWA1N       20230101000970100000005000 0100000030001061   
0601OWA1N       20230101000975100000005000 0100000030001064   
0601OWA1N       20230101000980100000005000 0100000030001069   
0601OWA1N       20230101000985100000005000 0100000030001072   
0601OWA1N       20230101000990100000005000 0100000030001075   
0601OWA1N       20230101000995100000005000 0100000030001079   
0601OWA1N       20230101001000100000005000 0100000030001082   
0601OWA1N       20230101001005100000005000 0100000030001085   
0601OWA1N       20230101001010100000005000 0100000030001089   
0601OWA1N       20230101001015100000005000 0100000030001093   
0601OWA1N       20230101001020100000005000 0100000030001096   
0601OWA1N       20230101001025100000005000 0100000030001099   
0601OWA1N       20230101001030100000005000 0100000030001102   
0601OWA1N       20230101001035100000005000 0100000030001107   
0601OWA1N       20230101001040100000005000 0100000030001110   
0601OWA1N       20230101001045100000005000 0100000030001112   
0601OWA1N       20230101001050100000005000 0100000030001115   
0601OWA1N       20230101001055100000005000 0100000030001119   
0601OWA1N       20230101001060100000005000 0100000030001122   
0601OWA1N       20230101001065100000005000 0100000030001125   
0601OWA1N       20230101001070100000005000 0100000030001128   
0601OWA1N       20230101001075100000005000 0100000030001130   
0601OWA1N       20230101001080100000005000 0100000030001133   
0601OWA1N       20230101001085100000005000 0100000030001137   
0601OWA1N       20230101001090100000005000 0100000030001141   
0601OWA1N       20230101001095100000005000 0100000030001144   
0601OWA1N       20230101001100100000005000 0100000030001146   
0601OWA1N       20230101001105100000005000 0100000030001149   
0601OWA1N       20230101001110100000005000 0100000030001152   
0601OWA1N       20230101001115100000005000 0100000030001155   
0601OWA1N       20230101001120100000005000 0100000030001157   
0601OWA1N       20230101001125100000005000 0100000030001160   
0601OWA1N       20230101001130100000005000 0100000030001163   
0601OWA1N       20230101001135100000005000 0100000030001167   
0601OWA1N       20230101001140100000005000 0100000030001169   
0601OWA1N       20230101001145100000005000 0100000030001172   
0601OWA1N       20230101001150100000005000 0100000030001174   
0601OWA1N       20230101001155100000005000 0100000030001177   
0601OWA1N       20230101001160100000005000 0100000030001180   
0601OWA1N       20230101001165100000005000 0100000030001183   
