00OW               20221108                                                                                   
0601OWA0N       20230101000000100000040000 0000000030000000   
0601OWA0N       20230101000040100000005000 0000000030000071   
0601OWA0N       20230101000045100000005000 0000000030000063   
0601OWA0N       20230101000050100000005000 0000000030000057   
0601OWA0N       20230101000055100000005000 0000000030000052   
0601OWA0N       20230101000060100000005000 0000000030000048   
0601OWA0N       20230101000065100000005000 0000000030000044   
0601OWA0N       20230101000070100000005000 0000000030000041   
0601OWA0N       20230101000075100000005000 0000000030000039   
0601OWA0N       20230101000080100000005000 0000000030000036   
0601OWA0N       20230101000085100000005000 0000000030000034   
0601OWA0N       20230101000090100000005000 0000000030000032   
0601OWA0N       20230101000095100000005000 0000000030000031   
0601OWA0N       20230101000100100000005000 0000000030000029   
0601OWA0N       20230101000105100000005000 0000000030000028   
0601OWA0N       20230101000110100000005000 0000000030000027   
0601OWA0N       20230101000115100000005000 0000000030000026   
0601OWA0N       20230101000120100000005000 0000000030000024   
0601OWA0N       20230101000125100000005000 0000000030000024   
0601OWA0N       20230101000130100000005000 0000000030000023   
0601OWA0N       20230101000135100000005000 0000000030000022   
0601OWA0N       20230101000140100000005000 0000000030000021   
0601OWA0N       20230101000145100000005000 0000000030000020   
0601OWA0N       20230101000150100000005000 0000000030000020   
0601OWA0N       20230101000155100000005000 0000000030000019   
0601OWA0N       20230101000160100000005000 0000000030000018   
0601OWA0N       20230101000165100000005000 0000000030000018   
0601OWA0N       20230101000170100000005000 0000000030000017   
0601OWA0N       20230101000175100000005000 0000000030000017   
0601OWA0N       20230101000180100000005000 0000000030000016   
0601OWA0N       20230101000185100000005000 0000000030000016   
0601OWA0N       20230101000190100000005000 0000000030000016   
0601OWA0N       20230101000195100000005000 0000000030000015   
0601OWA0N       20230101000200100000005000 0000000030000015   
0601OWA0N       20230101000205100000005000 0000000030000043   
0601OWA0N       20230101000210100000005000 0000000030000071   
0601OWA0N       20230101000215100000005000 0000000030000097   
0601OWA0N       20230101000220100000005000 0000000030000121   
0601OWA0N       20230101000225100000005000 0000000030000145   
0601OWA0N       20230101000230100000005000 0000000030000168   
0601OWA0N       20230101000235100000005000 0000000030000194   
0601OWA0N       20230101000240100000005000 0000000030000223   
0601OWA0N       20230101000245100000005000 0000000030000242   
0601OWA0N       20230101000250100000005000 0000000030000265   
0601OWA0N       20230101000255100000005000 0000000030000283   
0601OWA0N       20230101000260100000005000 0000000030000301   
0601OWA0N       20230101000265100000005000 0000000030000318   
0601OWA0N       20230101000270100000005000 0000000030000341   
0601OWA0N       20230101000275100000005000 0000000030000357   
0601OWA0N       20230101000280100000005000 0000000030000372   
0601OWA0N       20230101000285100000005000 0000000030000390   
0601OWA0N       20230101000290100000005000 0000000030000403   
0601OWA0N       20230101000295100000005000 0000000030000417   
0601OWA0N       20230101000300100000005000 0000000030000430   
0601OWA0N       20230101000305100000005000 0000000030000449   
0601OWA0N       20230101000310100000005000 0000000030000461   
0601OWA0N       20230101000315100000005000 0000000030000472   
0601OWA0N       20230101000320100000005000 0000000030000484   
0601OWA0N       20230101000325100000005000 0000000030000498   
0601OWA0N       20230101000330100000005000 0000000030000508   
0601OWA0N       20230101000335100000005000 0000000030000519   
0601OWA0N       20230101000340100000005000 0000000030000534   
0601OWA0N       20230101000345100000005000 0000000030000544   
0601OWA0N       20230101000350100000005000 0000000030000553   
0601OWA0N       20230101000355100000005000 0000000030000562   
0601OWA0N       20230101000360100000005000 0000000030000574   
0601OWA0N       20230101000365100000005000 0000000030000582   
0601OWA0N       20230101000370100000005000 0000000030000591   
0601OWA0N       20230101000375100000005000 0000000030000604   
0601OWA0N       20230101000380100000005000 0000000030000612   
0601OWA0N       20230101000385100000005000 0000000030000619   
0601OWA0N       20230101000390100000005000 0000000030000627   
0601OWA0N       20230101000395100000005000 0000000030000636   
0601OWA0N       20230101000400100000005000 0000000030000643   
0601OWA0N       20230101000405100000005000 0000000030000650   
0601OWA0N       20230101000410100000005000 0000000030000662   
0601OWA0N       20230101000415100000005000 0000000030000668   
0601OWA0N       20230101000420100000005000 0000000030000675   
0601OWA0N       20230101000425100000005000 0000000030000683   
0601OWA0N       20230101000430100000005000 0000000030000689   
0601OWA0N       20230101000435100000005000 0000000030000697   
0601OWA0N       20230101000440100000005000 0000000030000707   
0601OWA0N       20230101000445100000005000 0000000030000713   
0601OWA0N       20230101000450100000005000 0000000030000723   
0601OWA0N       20230101000455100000005000 0000000030000730   
0601OWA0N       20230101000460100000005000 0000000030000735   
0601OWA0N       20230101000465100000005000 0000000030000744   
0601OWA0N       20230101000470100000005000 0000000030000751   
0601OWA0N       20230101000475100000005000 0000000030000760   
0601OWA0N       20230101000480100000005000 0000000030000767   
0601OWA0N       20230101000485100000005000 0000000030000775   
0601OWA0N       20230101000490100000005000 0000000030000784   
0601OWA0N       20230101000495100000005000 0000000030000790   
0601OWA0N       20230101000500100000005000 0000000030000798   
0601OWA0N       20230101000505100000005000 0000000030000806   
0601OWA0N       20230101000510100000005000 0000000030000816   
0601OWA0N       20230101000515100000005000 0000000030000821   
0601OWA0N       20230101000520100000005000 0000000030000829   
0601OWA0N       20230101000525100000005000 0000000030000836   
0601OWA0N       20230101000530100000005000 0000000030000841   
0601OWA0N       20230101000535100000005000 0000000030000848   
0601OWA0N       20230101000540100000005000 0000000030000857   
0601OWA0N       20230101000545100000005000 0000000030000864   
0601OWA0N       20230101000550100000005000 0000000030000869   
0601OWA0N       20230101000555100000005000 0000000030000875   
0601OWA0N       20230101000560100000005000 0000000030000884   
0601OWA0N       20230101000565100000005000 0000000030000888   
0601OWA0N       20230101000570100000005000 0000000030000894   
0601OWA0N       20230101000575100000005000 0000000030000900   
0601OWA0N       20230101000580100000005000 0000000030000905   
0601OWA0N       20230101000585100000005000 0000000030000909   
0601OWA0N       20230101000590100000005000 0000000030000913   
0601OWA0N       20230101000595100000005000 0000000030000917   
0601OWA0N       20230101000600100000005000 0000000030000923   
0601OWA0N       20230101000605100000005000 0000000030000927   
0601OWA0N       20230101000610100000005000 0000000030000931   
0601OWA0N       20230101000615100000005000 0000000030000934   
0601OWA0N       20230101000620100000005000 0000000030000940   
0601OWA0N       20230101000625100000005000 0000000030000945   
0601OWA0N       20230101000630100000005000 0000000030000949   
0601OWA0N       20230101000635100000005000 0000000030000952   
0601OWA0N       20230101000640100000005000 0000000030000956   
0601OWA0N       20230101000645100000005000 0000000030000961   
0601OWA0N       20230101000650100000005000 0000000030000966   
0601OWA0N       20230101000655100000005000 0000000030000969   
0601OWA0N       20230101000660100000005000 0000000030000972   
0601OWA0N       20230101000665100000005000 0000000030000975   
0601OWA0N       20230101000670100000005000 0000000030000980   
0601OWA0N       20230101000675100000005000 0000000030000985   
0601OWA0N       20230101000680100000005000 0000000030000988   
