00AI               20210204                                                                                   
0601AIA0N       20210101000000100000020000 0000000000000000   
0601AIA0N       20210101000020100000005000 0000000000000000   
0601AIA0N       20210101000025100000005000 0000000000000000   
0601AIA0N       20210101000030100000005000 0000000000000000   
0601AIA0N       20210101000035100000005000 0000000000000000   
0601AIA0N       20210101000040100000005000 0000000000000000   
0601AIA0N       20210101000045100000005000 0000000000000000   
0601AIA0N       20210101000050100000005000 0000000000000000   
0601AIA0N       20210101000055100000005000 0000000000000000   
0601AIA0N       20210101000060100000005000 0000000000000000   
0601AIA0N       20210101000065100000005000 0000000000000000   
0601AIA0N       20210101000070100000005000 0000000000000000   
0601AIA0N       20210101000075100000005000 0000000000000000   
0601AIA0N       20210101000080100000005000 0000000000000012   
0601AIA0N       20210101000085100000005000 0000000000000023   
0601AIA0N       20210101000090100000005000 0000000000000022   
0601AIA0N       20210101000095100000005000 0000000000000031   
0601AIA0N       20210101000100100000005000 0000000000000039   
0601AIA0N       20210101000105100000005000 0000000000000047   
0601AIA0N       20210101000110100000005000 0000000000000053   
0601AIA0N       20210101000115100000005000 0000000000000068   
0601AIA0N       20210101000120100000005000 0000000000000073   
0601AIA0N       20210101000125100000005000 0000000000000086   
0601AIA0N       20210101000130100000005000 0000000000000091   
0601AIA0N       20210101000135100000005000 0000000000000102   
0601AIA0N       20210101000140100000005000 0000000000000112   
0601AIA0N       20210101000145100000005000 0000000000000129   
0601AIA0N       20210101000150100000005000 0000000000000138   
0601AIA0N       20210101000155100000005000 0000000000000146   
0601AIA0N       20210101000160100000005000 0000000000000154   
0601AIA0N       20210101000165100000005000 0000000000000167   
0601AIA0N       20210101000170100000005000 0000000000000180   
0601AIA0N       20210101000175100000005000 0000000000000192   
0601AIA0N       20210101000180100000005000 0000000000000203   
0601AIA0N       20210101000185100000005000 0000000000000213   
0601AIA0N       20210101000190100000005000 0000000000000223   
0601AIA0N       20210101000195100000005000 0000000000000233   
0601AIA0N       20210101000200100000005000 0000000000000247   
0601AIA0N       20210101000205100000005000 0000000000000260   
0601AIA0N       20210101000210100000005000 0000000000000268   
0601AIA0N       20210101000215100000005000 0000000000000276   
0601AIA0N       20210101000220100000005000 0000000000000288   
0601AIA0N       20210101000225100000005000 0000000000000308   
0601AIA0N       20210101000230100000005000 0000000000000318   
0601AIA0N       20210101000235100000005000 0000000000000328   
0601AIA0N       20210101000240100000005000 0000000000000342   
0601AIA0N       20210101000245100000005000 0000000000000356   
0601AIA0N       20210101000250100000005000 0000000000000368   
0601AIA0N       20210101000255100000005000 0000000000000381   
0601AIA0N       20210101000260100000005000 0000000000000389   
0601AIA0N       20210101000265100000005000 0000000000000396   
0601AIA0N       20210101000270100000005000 0000000000000411   
0601AIA0N       20210101000275100000005000 0000000000000422   
0601AIA0N       20210101000280100000005000 0000000000000435   
0601AIA0N       20210101000285100000005000 0000000000000445   
0601AIA0N       20210101000290100000005000 0000000000000455   
