00AR               20231109                                                                                   
0601ARA0N       20240101000000100000115000 0000000050000043   
0601ARA0N       20240101000115100000005000 0000000050000043   
0601ARA0N       20240101000120100000005000 0000000050000041   
0601ARA0N       20240101000125100000005000 0000000050000039   
0601ARA0N       20240101000130100000005000 0000000050000038   
0601ARA0N       20240101000135100000005000 0000000050000036   
0601ARA0N       20240101000140100000005000 0000000050000035   
0601ARA0N       20240101000145100000005000 0000000050000034   
0601ARA0N       20240101000150100000005000 0000000050000033   
0601ARA0N       20240101000155100000005000 0000000050000032   
0601ARA0N       20240101000160100000005000 0000000050000040   
0601ARA0N       20240101000165100000005000 0000000050000057   
0601ARA0N       20240101000170100000005000 0000000050000073   
0601ARA0N       20240101000175100000005000 0000000050000089   
0601ARA0N       20240101000180100000005000 0000000050000112   
0601ARA0N       20240101000185100000005000 0000000050000133   
0601ARA0N       20240101000190100000005000 0000000050000154   
0601ARA0N       20240101000195100000005000 0000000050000173   
0601ARA0N       20240101000200100000005000 0000000050000191   
0601ARA0N       20240101000205100000005000 0000000050000209   
0601ARA0N       20240101000210100000005000 0000000050000226   
0601ARA0N       20240101000215100000005000 0000000050000242   
0601ARA0N       20240101000220100000005000 0000000050000260   
0601ARA0N       20240101000225100000005000 0000000050000278   
0601ARA0N       20240101000230100000005000 0000000050000296   
0601ARA0N       20240101000235100000005000 0000000050000313   
0601ARA0N       20240101000240100000005000 0000000050000338   
0601ARA0N       20240101000245100000005000 0000000050000355   
0601ARA0N       20240101000250100000005000 0000000050000371   
0601ARA0N       20240101000255100000005000 0000000050000386   
0601ARA0N       20240101000260100000005000 0000000050000401   
0601ARA0N       20240101000265100000005000 0000000050000416   
0601ARA0N       20240101000270100000005000 0000000050000430   
0601ARA0N       20240101000275100000005000 0000000050000443   
0601ARA0N       20240101000280100000005000 0000000050000456   
0601ARA0N       20240101000285100000005000 0000000050000468   
0601ARA0N       20240101000290100000005000 0000000050000480   
0601ARA0N       20240101000295100000005000 0000000050000492   
0601ARA0N       20240101000300100000005000 0000000050000503   
0601ARA0N       20240101000305100000005000 0000000050000514   
0601ARA0N       20240101000310100000005000 0000000050000524   
0601ARA0N       20240101000315100000005000 0000000050000534   
0601ARA0N       20240101000320100000005000 0000000050000544   
0601ARA0N       20240101000325100000005000 0000000050000554   
0601ARA0N       20240101000330100000005000 0000000050000563   
0601ARA0N       20240101000335100000005000 0000000050000574   
0601ARA0N       20240101000340100000005000 0000000050000587   
0601ARA0N       20240101000345100000005000 0000000050000598   
0601ARA0N       20240101000350100000005000 0000000050000610   
0601ARA0N       20240101000355100000005000 0000000050000621   
0601ARA0N       20240101000360100000005000 0000000050000632   
0601ARA0N       20240101000365100000005000 0000000050000643   
0601ARA0N       20240101000370100000005000 0000000050000653   
0601ARA0N       20240101000375100000005000 0000000050000663   
0601ARA0N       20240101000380100000005000 0000000050000673   
0601ARA0N       20240101000385100000005000 0000000050000683   
0601ARA0N       20240101000390100000005000 0000000050000692   
0601ARA0N       20240101000395100000005000 0000000050000702   
0601ARA0N       20240101000400100000005000 0000000050000710   
0601ARA0N       20240101000405100000005000 0000000050000719   
0601ARA0N       20240101000410100000005000 0000000050000728   
0601ARA0N       20240101000415100000005000 0000000050000736   
0601ARA0N       20240101000420100000005000 0000000050000744   
0601ARA0N       20240101000425100000005000 0000000050000752   
0601ARA0N       20240101000430100000005000 0000000050000760   
0601ARA0N       20240101000435100000005000 0000000050000768   
0601ARA0N       20240101000440100000005000 0000000050000775   
0601ARA0N       20240101000445100000005000 0000000050000782   
0601ARA0N       20240101000450100000005000 0000000050000789   
0601ARA0N       20240101000455100000005000 0000000050000796   
0601ARA0N       20240101000460100000005000 0000000050000803   
0601ARA0N       20240101000465100000005000 0000000050000810   
