00AI               20231227                                                                                   
0601AIA0N       20240101000625100000005000 0000000000000907   
0601AIA0N       20240101000630100000005000 0000000000000911   
0601AIA0N       20240101000635100000005000 0000000000000915   
0601AIA0N       20240101000640100000005000 0000000000000918   
0601AIA0N       20240101000645100000005000 0000000000000924   
0601AIA0N       20240101000650100000005000 0000000000000929   
0601AIA0N       20240101000655100000005000 0000000000000932   
0601AIA0N       20240101000660100000005000 0000000000000936   
0601AIA0N       20240101000665100000005000 0000000000000939   
0601AIA0N       20240101000670100000005000 0000000000000944   
0601AIA0N       20240101000675100000005000 0000000000000949   
0601AIA0N       20240101000680100000005000 0000000000000952   
0601AIA0N       20240101000685100000005000 0000000000000956   
0601AIA0N       20240101000690100000005000 0000000000000959   
0601AIA0N       20240101000695100000005000 0000000000000963   
0601AIA0N       20240101000700100000005000 0000000000000968   
0601AIA0N       20240101000705100000005000 0000000000000970   
0601AIA0N       20240101000710100000005000 0000000000000974   
0601AIA0N       20240101000715100000005000 0000000000000977   
0601AIA0N       20240101000720100000005000 0000000000000981   
0601AIA0N       20240101000725100000005000 0000000000000986   
0601AIA0N       20240101000730100000005000 0000000000000987   
0601AIA0N       20240101000735100000005000 0000000000000991   
0601AIA0N       20240101000740100000005000 0000000000000994   
0601AIA0N       20240101000745100000005000 0000000000000998   
0601AIA0N       20240101000750100000005000 0000000000000999   
0601AIA0N       20240101000755100000005000 0000000000001003   
0601AIA0N       20240101000760100000005000 0000000000001007   
0601AIA0N       20240101000765100000005000 0000000000001010   
0601AIA0N       20240101000770100000005000 0000000000001014   
0601AIA0N       20240101000775100000005000 0000000000001015   
0601AIA0N       20240101000780100000005000 0000000000001019   
0601AIA0N       20240101000785100000005000 0000000000001022   
0601AIA0N       20240101000790100000005000 0000000000001025   
0601AIA0N       20240101000795100000005000 0000000000001027   
0601AIA0N       20240101000800100000005000 0000000000001029   
0601AIA0N       20240101000805100000005000 0000000000001033   
0601AIA0N       20240101000810100000005000 0000000000001038   
0601AIA0N       20240101000815100000005000 0000000000001042   
0601AIA0N       20240101000820100000005000 0000000000001046   
0601AIA0N       20240101000825100000005000 0000000000001050   
0601AIA0N       20240101000830100000005000 0000000000001055   
0601AIA0N       20240101000835100000005000 0000000000001060   
0601AIA0N       20240101000840100000005000 0000000000001064   
0601AIA0N       20240101000845100000005000 0000000000001068   
0601AIA0N       20240101000850100000005000 0000000000001072   
0601AIA0N       20240101000855100000005000 0000000000001076   
0601AIA0N       20240101000860100000005000 0000000000001082   
0601AIA0N       20240101000865100000005000 0000000000001085   
0601AIA0N       20240101000870100000005000 0000000000001089   
0601AIA0N       20240101000875100000005000 0000000000001094   
0601AIA0N       20240101000880100000005000 0000000000001098   
0601AIA0N       20240101000885100000005000 0000000000001103   
0601AIA0N       20240101000890100000005000 0000000000001106   
