00AI               20221107                                                                                   
0601AIA0N       20230101000000100000020000 0000000000000000   
0601AIA0N       20230101000020100000005000 0000000000000000   
0601AIA0N       20230101000025100000005000 0000000000000000   
0601AIA0N       20230101000030100000005000 0000000000000000   
0601AIA0N       20230101000035100000005000 0000000000000000   
0601AIA0N       20230101000040100000005000 0000000000000000   
0601AIA0N       20230101000045100000005000 0000000000000000   
0601AIA0N       20230101000050100000005000 0000000000000000   
0601AIA0N       20230101000055100000005000 0000000000000000   
0601AIA0N       20230101000060100000005000 0000000000000000   
0601AIA0N       20230101000065100000005000 0000000000000000   
0601AIA0N       20230101000070100000005000 0000000000000000   
0601AIA0N       20230101000075100000005000 0000000000000000   
0601AIA0N       20230101000080100000005000 0000000000000012   
0601AIA0N       20230101000085100000005000 0000000000000011   
0601AIA0N       20230101000090100000005000 0000000000000022   
0601AIA0N       20230101000095100000005000 0000000000000031   
0601AIA0N       20230101000100100000005000 0000000000000039   
0601AIA0N       20230101000105100000005000 0000000000000037   
0601AIA0N       20230101000110100000005000 0000000000000053   
0601AIA0N       20230101000115100000005000 0000000000000060   
0601AIA0N       20230101000120100000005000 0000000000000073   
0601AIA0N       20230101000125100000005000 0000000000000086   
0601AIA0N       20230101000130100000005000 0000000000000091   
0601AIA0N       20230101000135100000005000 0000000000000102   
0601AIA0N       20230101000140100000005000 0000000000000112   
0601AIA0N       20230101000145100000005000 0000000000000122   
0601AIA0N       20230101000150100000005000 0000000000000131   
0601AIA0N       20230101000155100000005000 0000000000000146   
0601AIA0N       20230101000160100000005000 0000000000000154   
0601AIA0N       20230101000165100000005000 0000000000000161   
0601AIA0N       20230101000170100000005000 0000000000000174   
0601AIA0N       20230101000175100000005000 0000000000000186   
0601AIA0N       20230101000180100000005000 0000000000000197   
0601AIA0N       20230101000185100000005000 0000000000000208   
0601AIA0N       20230101000190100000005000 0000000000000218   
0601AIA0N       20230101000195100000005000 0000000000000228   
0601AIA0N       20230101000200100000005000 0000000000000242   
0601AIA0N       20230101000205100000005000 0000000000000251   
0601AIA0N       20230101000210100000005000 0000000000000264   
0601AIA0N       20230101000215100000005000 0000000000000276   
0601AIA0N       20230101000220100000005000 0000000000000283   
0601AIA0N       20230101000225100000005000 0000000000000295   
