00BL               20231108                                                                                   
0601BLA0N       20240101000725100000005000 0000000000001219   
0601BLA0N       20240101000730100000005000 0000000000001227   
0601BLA0N       20240101000735100000005000 0000000000001235   
0601BLA0N       20240101000740100000005000 0000000000001242   
0601BLA0N       20240101000745100000005000 0000000000001249   
0601BLA0N       20240101000750100000005000 0000000000001257   
0601BLA0N       20240101000755100000005000 0000000000001265   
0601BLA0N       20240101000760100000005000 0000000000001272   
0601BLA0N       20240101000765100000005000 0000000000001279   
0601BLA0N       20240101000770100000005000 0000000000001285   
0601BLA0N       20240101000775100000005000 0000000000001293   
0601BLA0N       20240101000780100000005000 0000000000001300   
0601BLA0N       20240101000785100000005000 0000000000001307   
0601BLA0N       20240101000790100000005000 0000000000001314   
0601BLA0N       20240101000795100000005000 0000000000001320   
0601BLA0N       20240101000800100000005000 0000000000001327   
0601BLA0N       20240101000805100000005000 0000000000001334   
0601BLA0N       20240101000810100000005000 0000000000001343   
0601BLA0N       20240101000815100000005000 0000000000001350   
0601BLA0N       20240101000820100000005000 0000000000001358   
0601BLA0N       20240101000825100000005000 0000000000001367   
0601BLA0N       20240101000830100000005000 0000000000001374   
0601BLA0N       20240101000835100000005000 0000000000001381   
0601BLA0N       20240101000840100000005000 0000000000001390   
0601BLA0N       20240101000845100000005000 0000000000001397   
0601BLA0N       20240101000850100000005000 0000000000001405   
0601BLA0N       20240101000855100000005000 0000000000001412   
0601BLA0N       20240101000860100000005000 0000000000001420   
0601BLA0N       20240101000865100000005000 0000000000001427   
0601BLA0N       20240101000870100000005000 0000000000001435   
0601BLA0N       20240101000875100000005000 0000000000001443   
0601BLA0N       20240101000880100000005000 0000000000001450   
0601BLA0N       20240101000885100000005000 0000000000001458   
0601BLA0N       20240101000890100000005000 0000000000001464   
0601BLA0N       20240101000895100000005000 0000000000001472   
0601BLA0N       20240101000900100000005000 0000000000001479   
0601BLA0N       20240101000905100000005000 0000000000001487   
0601BLA0N       20240101000910100000005000 0000000000001494   
0601BLA0N       20240101000915100000005000 0000000000001501   
0601BLA0N       20240101000920100000005000 0000000000001508   
0601BLA0N       20240101000925100000005000 0000000000001515   
0601BLA0N       20240101000930100000005000 0000000000001522   
0601BLA0N       20240101000935100000005000 0000000000001529   
0601BLA0N       20240101000940100000005000 0000000000001535   
0601BLA0N       20240101000945100000005000 0000000000001542   
0601BLA0N       20240101000950100000005000 0000000000001549   
0601BLA0N       20240101000955100000005000 0000000000001555   
0601BLA0N       20240101000960100000005000 0000000000001562   
0601BLA0N       20240101000965100000005000 0000000000001568   
0601BLA0N       20240101000970100000005000 0000000000001575   
0601BLA0N       20240101000975100000005000 0000000000001582   
0601BLA0N       20240101000980100000005000 0000000000001588   
0601BLA0N       20240101000985100000005000 0000000000001594   
0601BLA0N       20240101000990100000005000 0000000000001600   
0601BLA0N       20240101000995100000005000 0000000000001607   
0601BLA0N       20240101001000100000005000 0000000000001613   
0601BLA0N       20240101001005100000005000 0000000000001619   
0601BLA0N       20240101001010100000005000 0000000000001625   
0601BLA0N       20240101001015100000005000 0000000000001631   
0601BLA0N       20240101001020100000005000 0000000000001637   
0601BLA0N       20240101001025100000005000 0000000000001643   
0601BLA0N       20240101001030100000005000 0000000000001649   
0601BLA0N       20240101001035100000005000 0000000000001655   
0601BLA0N       20240101001040100000005000 0000000000001660   
0601BLA0N       20240101001045100000005000 0000000000001667   
0601BLA0N       20240101001050100000005000 0000000000001672   
0601BLA0N       20240101001055100000005000 0000000000001678   
0601BLA0N       20240101001060100000005000 0000000000001684   
0601BLA0N       20240101001065100000005000 0000000000001689   
0601BLA0N       20240101001070100000005000 0000000000001695   
0601BLA0N       20240101001075100000005000 0000000000001700   
0601BLA0N       20240101001080100000005000 0000000000001706   
0601BLA0N       20240101001085100000005000 0000000000001711   
0601BLA0N       20240101001090100000005000 0000000000001717   
0601BLA0N       20240101001095100000005000 0000000000001723   
0601BLA0N       20240101001100100000005000 0000000000001728   
0601BLA0N       20240101001105100000005000 0000000000001734   
0601BLA0N       20240101001110100000005000 0000000000001739   
0601BLA0N       20240101001115100000005000 0000000000001744   
0601BLA0N       20240101001120100000005000 0000000000001750   
0601BLA0N       20240101001125100000005000 0000000000001754   
0601BLA0N       20240101001130100000005000 0000000000001761   
0601BLA0N       20240101001135100000005000 0000000000001767   
0601BLA0N       20240101001140100000005000 0000000000001773   
0601BLA0N       20240101001145100000005000 0000000000001779   
0601BLA0N       20240101001150100000005000 0000000000001785   
0601BLA0N       20240101001155100000005000 0000000000001790   
0601BLA0N       20240101001160100000005000 0000000000001797   
0601BLA0N       20240101001165100000005000 0000000000001802   
0601BLA0N       20240101001170100000005000 0000000000001808   
0601BLA0N       20240101001175100000005000 0000000000001813   
0601BLA0N       20240101001180100000005000 0000000000001819   
0601BLA0N       20240101001185100000005000 0000000000001825   
0601BLA0N       20240101001190100000005000 0000000000001831   
0601BLA0N       20240101001195100000005000 0000000000001836   
0601BLA0N       20240101001200100000005000 0000000000001841   
0601BLA0N       20240101001205100000005000 0000000000001847   
0601BLA0N       20240101001210100000005000 0000000000001852   
0601BLA0N       20240101001215100000005000 0000000000001858   
0601BLA0N       20240101001220100000005000 0000000000001863   
0601BLA0N       20240101001225100000005000 0000000000001868   
0601BLA0N       20240101001230100000005000 0000000000001873   
0601BLA0N       20240101001235100000005000 0000000000001879   
0601BLA0N       20240101001240100000005000 0000000000001884   
0601BLA0N       20240101001245100000005000 0000000000001889   
0601BLA0N       20240101001250100000005000 0000000000001895   
0601BLA0N       20240101001255100000005000 0000000000001901   
0601BLA0N       20240101001260100000005000 0000000000001905   
0601BLA0N       20240101001265100000005000 0000000000001911   
0601BLA0N       20240101001270100000005000 0000000000001916   
0601BLA0N       20240101001275100000005000 0000000000001921   
0601BLA0N       20240101001280100000005000 0000000000001926   
0601BLA0N       20240101001285100000005000 0000000000001932   
0601BLA0N       20240101001290100000005000 0000000000001937   
0601BLA0N       20240101001295100000005000 0000000000001941   
0601BLA0N       20240101001300100000005000 0000000000001946   
0601BLA0N       20240101001305100000005000 0000000000001951   
0601BLA0N       20240101001310100000005000 0000000000001956   
0601BLA0N       20240101001315100000005000 0000000000001961   
0601BLA0N       20240101001320100000005000 0000000000001966   
0601BLA0N       20240101001325100000005000 0000000000001971   
0601BLA0N       20240101001330100000005000 0000000000001976   
0601BLA0N       20240101001335100000005000 0000000000001981   
0601BLA0N       20240101001340100000005000 0000000000001985   
0601BLA0N       20240101001345100000005000 0000000000001990   
0601BLA0N       20240101001350100000005000 0000000000001994   
0601BLA0N       20240101001355100000005000 0000000000001999   
0601BLA0N       20240101001360100000005000 0000000000002004   
0601BLA0N       20240101001365100000005000 0000000000002008   
0601BLA0N       20240101001370100000005000 0000000000002012   
0601BLA0N       20240101001375100000005000 0000000000002017   
0601BLA0N       20240101001380100000005000 0000000000002022   
0601BLA0N       20240101001385100000005000 0000000000002026   
0601BLA0N       20240101001390100000005000 0000000000002031   
0601BLA0N       20240101001395100000005000 0000000000002035   
0601BLA0N       20240101001400100000005000 0000000000002039   
0601BLA0N       20240101001405100000005000 0000000000002043   
0601BLA0N       20240101001410100000005000 0000000000002047   
0601BLA0N       20240101001415100000005000 0000000000002051   
0601BLA0N       20240101001420100000005000 0000000000002056   
0601BLA0N       20240101001425100000005000 0000000000002060   
0601BLA0N       20240101001430100000005000 0000000000002064   
0601BLA0N       20240101001435100000005000 0000000000002069   
0601BLA0N       20240101001440100000005000 0000000000002074   
0601BLA0N       20240101001445100000005000 0000000000002079   
0601BLA0N       20240101001450100000005000 0000000000002083   
0601BLA0N       20240101001455100000005000 0000000000002089   
0601BLA0N       20240101001460100000005000 0000000000002093   
0601BLA0N       20240101001465100000005000 0000000000002097   
0601BLA0N       20240101001470100000005000 0000000000002103   
0601BLA0N       20240101001475100000005000 0000000000002107   
0601BLA0N       20240101001480100000005000 0000000000002111   
0601BLA0N       20240101001485100000005000 0000000000002116   
0601BLA0N       20240101001490100000005000 0000000000002120   
0601BLA0N       20240101001495100000005000 0000000000002124   
0601BLA0N       20240101001500100000005000 0000000000002129   
0601BLA0N       20240101001505100000005000 0000000000002133   
0601BLA0N       20240101001510100000005000 0000000000002138   
0601BLA0N       20240101001515100000005000 0000000000002142   
0601BLA0N       20240101001520100000005000 0000000000002146   
0601BLA0N       20240101001525100000005000 0000000000002151   
0601BLA0N       20240101001530100000005000 0000000000002155   
0601BLA0N       20240101001535100000005000 0000000000002159   
0601BLA0N       20240101001540100000005000 0000000000002163   
0601BLA0N       20240101001545100000005000 0000000000002168   
0601BLA0N       20240101001550100000005000 0000000000002172   
0601BLA0N       20240101001555100000005000 0000000000002176   
0601BLA0N       20240101001560100000005000 0000000000002180   
0601BLA0N       20240101001565100000005000 0000000000002184   
0601BLA0N       20240101001570100000005000 0000000000002188   
0601BLA0N       20240101001575100000005000 0000000000002192   
0601BLA0N       20240101001580100000005000 0000000000002197   
0601BLA0N       20240101001585100000005000 0000000000002200   
0601BLA0N       20240101001590100000005000 0000000000002204   
0601BLA0N       20240101001595100000005000 0000000000002208   
0601BLA0N       20240101001600100000005000 0000000000002212   
0601BLA0N       20240101001605100000005000 0000000000002216   
0601BLA0N       20240101001610100000005000 0000000000002220   
0601BLA0N       20240101001615100000005000 0000000000002224   
0601BLA0N       20240101001620100000005000 0000000000002227   
0601BLA0N       20240101001625100000005000 0000000000002232   
0601BLA0N       20240101001630100000005000 0000000000002235   
0601BLA0N       20240101001635100000005000 0000000000002239   
0601BLA0N       20240101001640100000005000 0000000000002243   
0601BLA0N       20240101001645100000005000 0000000000002246   
0601BLA0N       20240101001650100000005000 0000000000002251   
0601BLA0N       20240101001655100000005000 0000000000002255   
0601BLA0N       20240101001660100000005000 0000000000002258   
0601BLA0N       20240101001665100000005000 0000000000002261   
0601BLA0N       20240101001670100000005000 0000000000002265   
0601BLA0N       20240101001675100000005000 0000000000002269   
0601BLA0N       20240101001680100000005000 0000000000002272   
0601BLA0N       20240101001685100000005000 0000000000002276   
0601BLA0N       20240101001690100000005000 0000000000002279   
0601BLA0N       20240101001695100000005000 0000000000002283   
0601BLA0N       20240101001700100000005000 0000000000002287   
0601BLA0N       20240101001705100000005000 0000000000002290   
0601BLA0N       20240101001710100000005000 0000000000002293   
0601BLA0N       20240101001715100000005000 0000000000002296   
0601BLA0N       20240101001720100000005000 0000000000002300   
0601BLA0N       20240101001725100000005000 0000000000002303   
0601BLA0N       20240101001730100000005000 0000000000002307   
0601BLA0N       20240101001735100000005000 0000000000002310   
0601BLA0N       20240101001740100000005000 0000000000002314   
0601BLA0N       20240101001745100000005000 0000000000002317   
0601BLA0N       20240101001750100000005000 0000000000002321   
0601BLA0N       20240101001755100000005000 0000000000002324   
0601BLA0N       20240101001760100000005000 0000000000002327   
0601BLA0N       20240101001765100000005000 0000000000002330   
0601BLA0N       20240101001770100000005000 0000000000002333   
0601BLA0N       20240101001775100000005000 0000000000002336   
0601BLA0N       20240101001780100000005000 0000000000002340   
0601BLA0N       20240101001785100000005000 0000000000002343   
0601BLA0N       20240101001790100000005000 0000000000002346   
0601BLA0N       20240101001795100000005000 0000000000002350   
0601BLA0N       20240101001800100000005000 0000000000002353   
0601BLA0N       20240101001805100000005000 0000000000002356   
0601BLA0N       20240101001810100000005000 0000000000002359   
0601BLA0N       20240101001815100000005000 0000000000002362   
0601BLA0N       20240101001820100000005000 0000000000002365   
0601BLA0N       20240101001825100000005000 0000000000002368   
0601BLA0N       20240101001830100000005000 0000000000002371   
0601BLA0N       20240101001835100000005000 0000000000002374   
0601BLA0N       20240101001840100000005000 0000000000002378   
0601BLA0N       20240101001845100000005000 0000000000002382   
0601BLA0N       20240101001850100000005000 0000000000002385   
0601BLA0N       20240101001855100000005000 0000000000002389   
0601BLA0N       20240101001860100000005000 0000000000002392   
0601BLA0N       20240101001865100000005000 0000000000002395   
0601BLA0N       20240101001870100000005000 0000000000002398   
0601BLA0N       20240101001875100000005000 0000000000002402   
0601BLA0N       20240101001880100000005000 0000000000002406   
0601BLA0N       20240101001885100000005000 0000000000002409   
0601BLA0N       20240101001890100000005000 0000000000002413   
0601BLA0N       20240101001895100000005000 0000000000002416   
0601BLA0N       20240101001900100000005000 0000000000002419   
0601BLA0N       20240101001905100000005000 0000000000002423   
0601BLA0N       20240101001910100000005000 0000000000002426   
0601BLA0N       20240101001915100000005000 0000000000002429   
0601BLA0N       20240101001920100000005000 0000000000002433   
0601BLA0N       20240101001925100000005000 0000000000002436   
0601BLA0N       20240101001930100000005000 0000000000002439   
0601BLA0N       20240101001935100000005000 0000000000002442   
0601BLA0N       20240101001940100000005000 0000000000002445   
0601BLA0N       20240101001945100000005000 0000000000002448   
0601BLA0N       20240101001950100000005000 0000000000002452   
0601BLA0N       20240101001955100000005000 0000000000002455   
0601BLA0N       20240101001960100000005000 0000000000002458   
0601BLA0N       20240101001965100000005000 0000000000002461   
0601BLA0N       20240101001970100000005000 0000000000002464   
0601BLA0N       20240101001975100000005000 0000000000002467   
0601BLA0N       20240101001980100000005000 0000000000002471   
0601BLA0N       20240101001985100000005000 0000000000002473   
0601BLA0N       20240101001990100000005000 0000000000002477   
