00OW               20210204                                                                                   
0601OWA0N       20210101000000100000040000 0000000030000000   
0601OWA0N       20210101000040100000005000 0000000030000071   
0601OWA0N       20210101000045100000005000 0000000030000063   
0601OWA0N       20210101000050100000005000 0000000030000057   
0601OWA0N       20210101000055100000005000 0000000030000052   
0601OWA0N       20210101000060100000005000 0000000030000048   
0601OWA0N       20210101000065100000005000 0000000030000044   
0601OWA0N       20210101000070100000005000 0000000030000041   
0601OWA0N       20210101000075100000005000 0000000030000039   
0601OWA0N       20210101000080100000005000 0000000030000036   
0601OWA0N       20210101000085100000005000 0000000030000034   
0601OWA0N       20210101000090100000005000 0000000030000032   
0601OWA0N       20210101000095100000005000 0000000030000031   
0601OWA0N       20210101000100100000005000 0000000030000029   
0601OWA0N       20210101000105100000005000 0000000030000028   
0601OWA0N       20210101000110100000005000 0000000030000027   
0601OWA0N       20210101000115100000005000 0000000030000026   
0601OWA0N       20210101000120100000005000 0000000030000024   
0601OWA0N       20210101000125100000005000 0000000030000024   
0601OWA0N       20210101000130100000005000 0000000030000023   
0601OWA0N       20210101000135100000005000 0000000030000022   
0601OWA0N       20210101000140100000005000 0000000030000021   
0601OWA0N       20210101000145100000005000 0000000030000020   
0601OWA0N       20210101000150100000005000 0000000030000020   
0601OWA0N       20210101000155100000005000 0000000030000019   
0601OWA0N       20210101000160100000005000 0000000030000018   
0601OWA0N       20210101000165100000005000 0000000030000018   
0601OWA0N       20210101000170100000005000 0000000030000017   
0601OWA0N       20210101000175100000005000 0000000030000017   
0601OWA0N       20210101000180100000005000 0000000030000016   
0601OWA0N       20210101000185100000005000 0000000030000016   
0601OWA0N       20210101000190100000005000 0000000030000016   
0601OWA0N       20210101000195100000005000 0000000030000015   
0601OWA0N       20210101000200100000005000 0000000030000030   
0601OWA0N       20210101000205100000005000 0000000030000058   
0601OWA0N       20210101000210100000005000 0000000030000085   
0601OWA0N       20210101000215100000005000 0000000030000110   
0601OWA0N       20210101000220100000005000 0000000030000130   
0601OWA0N       20210101000225100000005000 0000000030000167   
0601OWA0N       20210101000230100000005000 0000000030000189   
0601OWA0N       20210101000235100000005000 0000000030000215   
0601OWA0N       20210101000240100000005000 0000000030000235   
0601OWA0N       20210101000245100000005000 0000000030000255   
0601OWA0N       20210101000250100000005000 0000000030000273   
0601OWA0N       20210101000255100000005000 0000000030000299   
0601OWA0N       20210101000260100000005000 0000000030000316   
0601OWA0N       20210101000265100000005000 0000000030000333   
0601OWA0N       20210101000270100000005000 0000000030000352   
0601OWA0N       20210101000275100000005000 0000000030000368   
0601OWA0N       20210101000280100000005000 0000000030000386   
0601OWA0N       20210101000285100000005000 0000000030000403   
0601OWA0N       20210101000290100000005000 0000000030000417   
0601OWA0N       20210101000295100000005000 0000000030000430   
0601OWA0N       20210101000300100000005000 0000000030000443   
0601OWA0N       20210101000305100000005000 0000000030000459   
0601OWA0N       20210101000310100000005000 0000000030000474   
0601OWA0N       20210101000315100000005000 0000000030000485   
0601OWA0N       20210101000320100000005000 0000000030000496   
0601OWA0N       20210101000325100000005000 0000000030000510   
0601OWA0N       20210101000330100000005000 0000000030000520   
0601OWA0N       20210101000335100000005000 0000000030000530   
0601OWA0N       20210101000340100000005000 0000000030000546   
0601OWA0N       20210101000345100000005000 0000000030000555   
0601OWA0N       20210101000350100000005000 0000000030000565   
0601OWA0N       20210101000355100000005000 0000000030000573   
0601OWA0N       20210101000360100000005000 0000000030000585   
0601OWA0N       20210101000365100000005000 0000000030000593   
0601OWA0N       20210101000370100000005000 0000000030000604   
0601OWA0N       20210101000375100000005000 0000000030000615   
0601OWA0N       20210101000380100000005000 0000000030000622   
0601OWA0N       20210101000385100000005000 0000000030000630   
0601OWA0N       20210101000390100000005000 0000000030000639   
0601OWA0N       20210101000395100000005000 0000000030000649   
0601OWA0N       20210101000400100000005000 0000000030000656   
0601OWA0N       20210101000405100000005000 0000000030000665   
0601OWA0N       20210101000410100000005000 0000000030000672   
0601OWA0N       20210101000415100000005000 0000000030000678   
0601OWA0N       20210101000420100000005000 0000000030000684   
0601OWA0N       20210101000425100000005000 0000000030000695   
