00AR               20221102                                                                                   
0601ARA0N       20230101000720100000005000 0000000030001178   
0601ARA0N       20230101000725100000005000 0000000030001185   
0601ARA0N       20230101000730100000005000 0000000030001189   
0601ARA0N       20230101000735100000005000 0000000030001194   
0601ARA0N       20230101000740100000005000 0000000030001198   
0601ARA0N       20230101000745100000005000 0000000030001203   
0601ARA0N       20230101000750100000005000 0000000030001207   
0601ARA0N       20230101000755100000005000 0000000030001213   
0601ARA0N       20230101000760100000005000 0000000030001217   
0601ARA0N       20230101000765100000005000 0000000030001222   
0601ARA0N       20230101000770100000005000 0000000030001226   
0601ARA0N       20230101000775100000005000 0000000030001231   
0601ARA0N       20230101000780100000005000 0000000030001237   
0601ARA0N       20230101000785100000005000 0000000030001242   
0601ARA0N       20230101000790100000005000 0000000030001246   
0601ARA0N       20230101000795100000005000 0000000030001251   
0601ARA0N       20230101000800100000005000 0000000030001257   
0601ARA0N       20230101000805100000005000 0000000030001264   
0601ARA0N       20230101000810100000005000 0000000030001270   
0601ARA0N       20230101000815100000005000 0000000030001275   
0601ARA0N       20230101000820100000005000 0000000030001281   
0601ARA0N       20230101000825100000005000 0000000030001286   
0601ARA0N       20230101000830100000005000 0000000030001293   
0601ARA0N       20230101000835100000005000 0000000030001298   
0601ARA0N       20230101000840100000005000 0000000030001303   
0601ARA0N       20230101000845100000005000 0000000030001308   
0601ARA0N       20230101000850100000005000 0000000030001313   
0601ARA0N       20230101000855100000005000 0000000030001321   
0601ARA0N       20230101000860100000005000 0000000030001326   
0601ARA0N       20230101000865100000005000 0000000030001331   
0601ARA0N       20230101000870100000005000 0000000030001336   
0601ARA0N       20230101000875100000005000 0000000030001340   
0601ARA0N       20230101000880100000005000 0000000030001347   
0601ARA0N       20230101000885100000005000 0000000030001351   
0601ARA0N       20230101000890100000005000 0000000030001356   
0601ARA0N       20230101000895100000005000 0000000030001360   
0601ARA0N       20230101000900100000005000 0000000030001365   
0601ARA0N       20230101000905100000005000 0000000030001371   
0601ARA0N       20230101000910100000005000 0000000030001376   
0601ARA0N       20230101000915100000005000 0000000030001380   
0601ARA0N       20230101000920100000005000 0000000030001385   
0601ARA0N       20230101000925100000005000 0000000030001389   
0601ARA0N       20230101000930100000005000 0000000030001395   
0601ARA0N       20230101000935100000005000 0000000030001400   
