00VD               20221027                                                                                   
0601VDA0N       20230101000845100000005000 0000000000001490   
0601VDA0N       20230101000850100000005000 0000000000001496   
0601VDA0N       20230101000855100000005000 0000000000001502   
0601VDA0N       20230101000860100000005000 0000000000001509   
0601VDA0N       20230101000865100000005000 0000000000001515   
0601VDA0N       20230101000870100000005000 0000000000001522   
0601VDA0N       20230101000875100000005000 0000000000001529   
0601VDA0N       20230101000880100000005000 0000000000001535   
0601VDA0N       20230101000885100000005000 0000000000001541   
0601VDA0N       20230101000890100000005000 0000000000001547   
0601VDA0N       20230101000895100000005000 0000000000001552   
0601VDA0N       20230101000900100000005000 0000000000001559   
0601VDA0N       20230101000905100000005000 0000000000001565   
0601VDA0N       20230101000910100000005000 0000000000001571   
0601VDA0N       20230101000915100000005000 0000000000001576   
0601VDA0N       20230101000920100000005000 0000000000001582   
0601VDA0N       20230101000925100000005000 0000000000001588   
0601VDA0N       20230101000930100000005000 0000000000001593   
0601VDA0N       20230101000935100000005000 0000000000001599   
0601VDA0N       20230101000940100000005000 0000000000001604   
0601VDA0N       20230101000945100000005000 0000000000001610   
0601VDA0N       20230101000950100000005000 0000000000001615   
0601VDA0N       20230101000955100000005000 0000000000001621   
0601VDA0N       20230101000960100000005000 0000000000001626   
0601VDA0N       20230101000965100000005000 0000000000001630   
0601VDA0N       20230101000970100000005000 0000000000001636   
0601VDA0N       20230101000975100000005000 0000000000001643   
0601VDA0N       20230101000980100000005000 0000000000001649   
0601VDA0N       20230101000985100000005000 0000000000001655   
0601VDA0N       20230101000990100000005000 0000000000001661   
0601VDA0N       20230101000995100000005000 0000000000001666   
0601VDA0N       20230101001000100000005000 0000000000001672   
0601VDA0N       20230101001005100000005000 0000000000001678   
0601VDA0N       20230101001010100000005000 0000000000001683   
0601VDA0N       20230101001015100000005000 0000000000001689   
0601VDA0N       20230101001020100000005000 0000000000001695   
0601VDA0N       20230101001025100000005000 0000000000001700   
0601VDA0N       20230101001030100000005000 0000000000001705   
0601VDA0N       20230101001035100000005000 0000000000001711   
0601VDA0N       20230101001040100000005000 0000000000001716   
0601VDA0N       20230101001045100000005000 0000000000001721   
0601VDA0N       20230101001050100000005000 0000000000001726   
0601VDA0N       20230101001055100000005000 0000000000001732   
0601VDA0N       20230101001060100000005000 0000000000001737   
0601VDA0N       20230101001065100000005000 0000000000001742   
0601VDA0N       20230101001070100000005000 0000000000001747   
0601VDA0N       20230101001075100000005000 0000000000001752   
0601VDA0N       20230101001080100000005000 0000000000001757   
0601VDA0N       20230101001085100000005000 0000000000001762   
0601VDA0N       20230101001090100000005000 0000000000001767   
0601VDA0N       20230101001095100000005000 0000000000001774   
0601VDA0N       20230101001100100000005000 0000000000001779   
0601VDA0N       20230101001105100000005000 0000000000001783   
0601VDA0N       20230101001110100000005000 0000000000001788   
0601VDA0N       20230101001115100000005000 0000000000001794   
0601VDA0N       20230101001120100000005000 0000000000001800   
0601VDA0N       20230101001125100000005000 0000000000001805   
0601VDA0N       20230101001130100000005000 0000000000001810   
0601VDA0N       20230101001135100000005000 0000000000001819   
0601VDA0N       20230101001140100000005000 0000000000001824   
0601VDA0N       20230101001145100000005000 0000000000001830   
0601VDA0N       20230101001150100000005000 0000000000001835   
0601VDA0N       20230101001155100000005000 0000000000001840   
0601VDA0N       20230101001160100000005000 0000000000001849   
0601VDA0N       20230101001165100000005000 0000000000001854   
0601VDA0N       20230101001170100000005000 0000000000001860   
0601VDA0N       20230101001175100000005000 0000000000001865   
0601VDA0N       20230101001180100000005000 0000000000001870   
0601VDA0N       20230101001185100000005000 0000000000001877   
0601VDA0N       20230101001190100000005000 0000000000001882   
0601VDA0N       20230101001195100000005000 0000000000001888   
0601VDA0N       20230101001200100000005000 0000000000001893   
0601VDA0N       20230101001205100000005000 0000000000001898   
0601VDA0N       20230101001210100000005000 0000000000001905   
0601VDA0N       20230101001215100000005000 0000000000001910   
0601VDA0N       20230101001220100000005000 0000000000001915   
0601VDA0N       20230101001225100000005000 0000000000001920   
0601VDA0N       20230101001230100000005000 0000000000001925   
0601VDA0N       20230101001235100000005000 0000000000001932   
0601VDA0N       20230101001240100000005000 0000000000001937   
0601VDA0N       20230101001245100000005000 0000000000001942   
0601VDA0N       20230101001250100000005000 0000000000001948   
0601VDA0N       20230101001255100000005000 0000000000001953   
0601VDA0N       20230101001260100000005000 0000000000001957   
0601VDA0N       20230101001265100000005000 0000000000001965   
0601VDA0N       20230101001270100000005000 0000000000001968   
0601VDA0N       20230101001275100000005000 0000000000001973   
0601VDA0N       20230101001280100000005000 0000000000001978   
0601VDA0N       20230101001285100000005000 0000000000001984   
0601VDA0N       20230101001290100000005000 0000000000001989   
0601VDA0N       20230101001295100000005000 0000000000001993   
0601VDA0N       20230101001300100000005000 0000000000001999   
0601VDA0N       20230101001305100000005000 0000000000002004   
0601VDA0N       20230101001310100000005000 0000000000002008   
0601VDA0N       20230101001315100000005000 0000000000002015   
0601VDA0N       20230101001320100000005000 0000000000002018   
0601VDA0N       20230101001325100000005000 0000000000002023   
0601VDA0N       20230101001330100000005000 0000000000002029   
0601VDA0N       20230101001335100000005000 0000000000002033   
0601VDA0N       20230101001340100000005000 0000000000002037   
0601VDA0N       20230101001345100000005000 0000000000002043   
0601VDA0N       20230101001350100000005000 0000000000002047   
0601VDA0N       20230101001355100000005000 0000000000002051   
0601VDA0N       20230101001360100000005000 0000000000002057   
0601VDA0N       20230101001365100000005000 0000000000002060   
