00GE               20221025                                                                                   
0601GEA0N       20230101000000100000240000 0000000000000000   
0601GEA0N       20230101000240005000005000 0000000000000028   
0601GEA0N       20230101000245005000005000 0000000000000052   
0601GEA0N       20230101000250005000005000 0000000000000076   
0601GEA0N       20230101000255005000005000 0000000000000098   
0601GEA0N       20230101000260005000005000 0000000000000120   
0601GEA0N       20230101000265005000005000 0000000000000141   
0601GEA0N       20230101000270005000005000 0000000000000161   
0601GEA0N       20230101000275005000005000 0000000000000182   
0601GEA0N       20230101000280005000005000 0000000000000203   
0601GEA0N       20230101000285005000005000 0000000000000223   
0601GEA0N       20230101000290005000005000 0000000000000243   
0601GEA0N       20230101000295005000005000 0000000000000263   
0601GEA0N       20230101000300005000005000 0000000000000284   
0601GEA0N       20230101000305005000005000 0000000000000304   
0601GEA0N       20230101000310005000005000 0000000000000323   
0601GEA0N       20230101000315005000005000 0000000000000342   
0601GEA0N       20230101000320005000005000 0000000000000363   
0601GEA0N       20230101000325005000005000 0000000000000383   
0601GEA0N       20230101000330005000005000 0000000000000402   
0601GEA0N       20230101000335005000005000 0000000000000421   
0601GEA0N       20230101000340005000005000 0000000000000440   
0601GEA0N       20230101000345005000005000 0000000000000460   
0601GEA0N       20230101000350005000005000 0000000000000480   
0601GEA0N       20230101000355005000005000 0000000000000498   
0601GEA0N       20230101000360005000005000 0000000000000517   
0601GEA0N       20230101000365005000005000 0000000000000534   
0601GEA0N       20230101000370005000005000 0000000000000552   
0601GEA0N       20230101000375005000005000 0000000000000569   
0601GEA0N       20230101000380005000005000 0000000000000585   
0601GEA0N       20230101000385005000005000 0000000000000601   
0601GEA0N       20230101000390005000005000 0000000000000617   
0601GEA0N       20230101000395005000005000 0000000000000633   
0601GEA0N       20230101000400005000005000 0000000000000650   
0601GEA0N       20230101000405005000005000 0000000000000666   
0601GEA0N       20230101000410005000005000 0000000000000682   
0601GEA0N       20230101000415005000005000 0000000000000698   
0601GEA0N       20230101000420005000005000 0000000000000713   
0601GEA0N       20230101000425005000005000 0000000000000728   
0601GEA0N       20230101000430005000005000 0000000000000742   
0601GEA0N       20230101000435005000005000 0000000000000756   
0601GEA0N       20230101000440005000005000 0000000000000772   
0601GEA0N       20230101000445005000005000 0000000000000787   
0601GEA0N       20230101000450005000005000 0000000000000802   
0601GEA0N       20230101000455005000005000 0000000000000816   
0601GEA0N       20230101000460005000005000 0000000000000830   
0601GEA0N       20230101000465005000005000 0000000000000844   
0601GEA0N       20230101000470005000005000 0000000000000858   
0601GEA0N       20230101000475005000005000 0000000000000871   
0601GEA0N       20230101000480005000005000 0000000000000885   
0601GEA0N       20230101000485005000005000 0000000000000900   
0601GEA0N       20230101000490005000005000 0000000000000915   
0601GEA0N       20230101000495005000005000 0000000000000929   
0601GEA0N       20230101000500005000005000 0000000000000943   
0601GEA0N       20230101000505005000005000 0000000000000957   
0601GEA0N       20230101000510005000005000 0000000000000971   
0601GEA0N       20230101000515005000005000 0000000000000984   
0601GEA0N       20230101000520005000005000 0000000000000997   
0601GEA0N       20230101000525005000005000 0000000000001011   
0601GEA0N       20230101000530005000005000 0000000000001024   
0601GEA0N       20230101000535005000005000 0000000000001037   
0601GEA0N       20230101000540005000005000 0000000000001050   
0601GEA0N       20230101000545005000005000 0000000000001062   
0601GEA0N       20230101000550005000005000 0000000000001075   
0601GEA0N       20230101000555005000005000 0000000000001088   
0601GEA0N       20230101000560005000005000 0000000000001100   
0601GEA0N       20230101000565005000005000 0000000000001112   
0601GEA0N       20230101000570005000005000 0000000000001124   
0601GEA0N       20230101000575005000005000 0000000000001136   
0601GEA0N       20230101000580005000005000 0000000000001148   
0601GEA0N       20230101000585005000005000 0000000000001159   
0601GEA0N       20230101000590005000005000 0000000000001170   
0601GEA0N       20230101000595005000005000 0000000000001181   
0601GEA0N       20230101000600005000005000 0000000000001192   
0601GEA0N       20230101000605005000005000 0000000000001203   
0601GEA0N       20230101000610005000005000 0000000000001213   
0601GEA0N       20230101000615005000005000 0000000000001224   
0601GEA0N       20230101000620005000005000 0000000000001234   
0601GEA0N       20230101000625005000005000 0000000000001244   
0601GEA0N       20230101000630005000005000 0000000000001254   
0601GEA0N       20230101000635005000005000 0000000000001264   
0601GEA0N       20230101000640005000005000 0000000000001274   
0601GEA0N       20230101000645005000005000 0000000000001283   
0601GEA0N       20230101000650005000005000 0000000000001293   
0601GEA0N       20230101000655005000005000 0000000000001302   
0601GEA0N       20230101000660005000005000 0000000000001311   
0601GEA0N       20230101000665005000005000 0000000000001320   
0601GEA0N       20230101000670005000005000 0000000000001329   
0601GEA0N       20230101000675005000005000 0000000000001338   
0601GEA0N       20230101000680005000005000 0000000000001346   
0601GEA0N       20230101000685005000005000 0000000000001355   
0601GEA0N       20230101000690005000005000 0000000000001363   
0601GEA0N       20230101000695005000005000 0000000000001372   
0601GEA0N       20230101000700005000005000 0000000000001380   
0601GEA0N       20230101000705005000005000 0000000000001388   
0601GEA0N       20230101000710005000005000 0000000000001396   
0601GEA0N       20230101000715005000005000 0000000000001403   
0601GEA0N       20230101000720005000005000 0000000000001411   
0601GEA0N       20230101000725005000005000 0000000000001419   
0601GEA0N       20230101000730005000005000 0000000000001426   
0601GEA0N       20230101000735005000005000 0000000000001434   
0601GEA0N       20230101000740005000005000 0000000000001441   
0601GEA0N       20230101000745005000005000 0000000000001448   
0601GEA0N       20230101000750005000005000 0000000000001455   
0601GEA0N       20230101000755005000005000 0000000000001462   
0601GEA0N       20230101000760005000005000 0000000000001469   
0601GEA0N       20230101000765005000005000 0000000000001476   
0601GEA0N       20230101000770005000005000 0000000000001483   
0601GEA0N       20230101000775005000005000 0000000000001489   
0601GEA0N       20230101000780005000005000 0000000000001496   
0601GEA0N       20230101000785005000005000 0000000000001502   
0601GEA0N       20230101000790005000005000 0000000000001509   
0601GEA0N       20230101000795005000005000 0000000000001516   
0601GEA0N       20230101000800005000005000 0000000000001524   
0601GEA0N       20230101000805005000005000 0000000000001532   
0601GEA0N       20230101000810005000005000 0000000000001540   
0601GEA0N       20230101000815005000005000 0000000000001548   
0601GEA0N       20230101000820005000005000 0000000000001556   
0601GEA0N       20230101000825005000005000 0000000000001564   
0601GEA0N       20230101000830005000005000 0000000000001571   
0601GEA0N       20230101000835005000005000 0000000000001579   
0601GEA0N       20230101000840005000005000 0000000000001586   
0601GEA0N       20230101000845005000005000 0000000000001594   
0601GEA0N       20230101000850005000005000 0000000000001601   
0601GEA0N       20230101000855005000005000 0000000000001609   
0601GEA0N       20230101000860005000005000 0000000000001616   
0601GEA0N       20230101000865005000005000 0000000000001623   
0601GEA0N       20230101000870005000005000 0000000000001631   
0601GEA0N       20230101000875005000005000 0000000000001638   
0601GEA0N       20230101000880005000005000 0000000000001645   
0601GEA0N       20230101000885005000005000 0000000000001652   
0601GEA0N       20230101000890005000005000 0000000000001659   
0601GEA0N       20230101000895005000005000 0000000000001666   
0601GEA0N       20230101000900005000005000 0000000000001673   
0601GEA0N       20230101000905005000005000 0000000000001679   
0601GEA0N       20230101000910005000005000 0000000000001686   
0601GEA0N       20230101000915005000005000 0000000000001693   
0601GEA0N       20230101000920005000005000 0000000000001699   
0601GEA0N       20230101000925005000005000 0000000000001706   
0601GEA0N       20230101000930005000005000 0000000000001713   
0601GEA0N       20230101000935005000005000 0000000000001719   
0601GEA0N       20230101000940005000005000 0000000000001725   
0601GEA0N       20230101000945005000005000 0000000000001731   
0601GEA0N       20230101000950005000005000 0000000000001737   
0601GEA0N       20230101000955005000005000 0000000000001743   
0601GEA0N       20230101000960005000005000 0000000000001749   
0601GEA0N       20230101000965005000005000 0000000000001755   
0601GEA0N       20230101000970005000005000 0000000000001761   
0601GEA0N       20230101000975005000005000 0000000000001767   
0601GEA0N       20230101000980005000005000 0000000000001773   
0601GEA0N       20230101000985005000005000 0000000000001778   
0601GEA0N       20230101000990005000005000 0000000000001784   
0601GEA0N       20230101000995005000005000 0000000000001789   
0601GEA0N       20230101001000005000005000 0000000000001795   
0601GEA0N       20230101001005005000005000 0000000000001800   
0601GEA0N       20230101001010005000005000 0000000000001806   
0601GEA0N       20230101001015005000005000 0000000000001811   
0601GEA0N       20230101001020005000005000 0000000000001816   
0601GEA0N       20230101001025005000005000 0000000000001822   
0601GEA0N       20230101001030005000005000 0000000000001827   
0601GEA0N       20230101001035005000005000 0000000000001832   
0601GEA0N       20230101001040005000005000 0000000000001837   
0601GEA0N       20230101001045005000005000 0000000000001842   
0601GEA0N       20230101001050005000005000 0000000000001847   
0601GEA0N       20230101001055005000005000 0000000000001852   
0601GEA0N       20230101001060005000005000 0000000000001857   
0601GEA0N       20230101001065005000005000 0000000000001862   
0601GEA0N       20230101001070005000005000 0000000000001867   
