00GE               20221025                                                                                   
0601GEA0N       20230101001075005000005000 0000000000001871   
0601GEA0N       20230101001080005000005000 0000000000001876   
0601GEA0N       20230101001085005000005000 0000000000001881   
0601GEA0N       20230101001090005000005000 0000000000001885   
0601GEA0N       20230101001095005000005000 0000000000001890   
0601GEA0N       20230101001100005000005000 0000000000001894   
0601GEA0N       20230101001105005000005000 0000000000001899   
0601GEA0N       20230101001110005000005000 0000000000001904   
0601GEA0N       20230101001115005000005000 0000000000001909   
0601GEA0N       20230101001120005000005000 0000000000001914   
0601GEA0N       20230101001125005000005000 0000000000001920   
0601GEA0N       20230101001130005000005000 0000000000001925   
0601GEA0N       20230101001135005000005000 0000000000001930   
0601GEA0N       20230101001140005000005000 0000000000001935   
0601GEA0N       20230101001145005000005000 0000000000001940   
0601GEA0N       20230101001150005000005000 0000000000001946   
0601GEA0N       20230101001155005000005000 0000000000001951   
0601GEA0N       20230101001160005000005000 0000000000001956   
0601GEA0N       20230101001165005000005000 0000000000001960   
0601GEA0N       20230101001170005000005000 0000000000001965   
0601GEA0N       20230101001175005000005000 0000000000001970   
0601GEA0N       20230101001180005000005000 0000000000001975   
0601GEA0N       20230101001185005000005000 0000000000001980   
0601GEA0N       20230101001190005000005000 0000000000001984   
0601GEA0N       20230101001195005000005000 0000000000001989   
0601GEA0N       20230101001200005000005000 0000000000001994   
0601GEA0N       20230101001205005000005000 0000000000001999   
0601GEA0N       20230101001210005000005000 0000000000002003   
0601GEA0N       20230101001215005000005000 0000000000002007   
0601GEA0N       20230101001220005000005000 0000000000002012   
0601GEA0N       20230101001225005000005000 0000000000002017   
0601GEA0N       20230101001230005000005000 0000000000002021   
0601GEA0N       20230101001235005000005000 0000000000002025   
0601GEA0N       20230101001240005000005000 0000000000002030   
0601GEA0N       20230101001245005000005000 0000000000002035   
0601GEA0N       20230101001250005000005000 0000000000002039   
0601GEA0N       20230101001255005000005000 0000000000002044   
0601GEA0N       20230101001260005000005000 0000000000002049   
0601GEA0N       20230101001265005000005000 0000000000002053   
0601GEA0N       20230101001270005000005000 0000000000002058   
0601GEA0N       20230101001275005000005000 0000000000002063   
0601GEA0N       20230101001280005000005000 0000000000002067   
0601GEA0N       20230101001285005000005000 0000000000002072   
0601GEA0N       20230101001290005000005000 0000000000002076   
0601GEA0N       20230101001295005000005000 0000000000002081   
0601GEA0N       20230101001300005000005000 0000000000002086   
0601GEA0N       20230101001305005000005000 0000000000002090   
0601GEA0N       20230101001310005000005000 0000000000002095   
0601GEA0N       20230101001315005000005000 0000000000002099   
0601GEA0N       20230101001320005000005000 0000000000002103   
0601GEA0N       20230101001325005000005000 0000000000002108   
0601GEA0N       20230101001330005000005000 0000000000002112   
0601GEA0N       20230101001335005000005000 0000000000002116   
0601GEA0N       20230101001340005000005000 0000000000002121   
0601GEA0N       20230101001345005000005000 0000000000002125   
0601GEA0N       20230101001350005000005000 0000000000002129   
0601GEA0N       20230101001355005000005000 0000000000002133   
0601GEA0N       20230101001360005000005000 0000000000002137   
0601GEA0N       20230101001365005000005000 0000000000002141   
0601GEA0N       20230101001370005000005000 0000000000002146   
0601GEA0N       20230101001375005000005000 0000000000002149   
0601GEA0N       20230101001380005000005000 0000000000002153   
0601GEA0N       20230101001385005000005000 0000000000002158   
0601GEA0N       20230101001390005000005000 0000000000002161   
0601GEA0N       20230101001395005000005000 0000000000002165   
0601GEA0N       20230101001400005000005000 0000000000002169   
0601GEA0N       20230101001405005000005000 0000000000002173   
0601GEA0N       20230101001410005000005000 0000000000002177   
0601GEA0N       20230101001415005000005000 0000000000002181   
0601GEA0N       20230101001420005000005000 0000000000002186   
0601GEA0N       20230101001425005000005000 0000000000002190   
0601GEA0N       20230101001430005000005000 0000000000002195   
0601GEA0N       20230101001435005000005000 0000000000002199   
0601GEA0N       20230101001440005000005000 0000000000002204   
0601GEA0N       20230101001445005000005000 0000000000002208   
0601GEA0N       20230101001450005000005000 0000000000002212   
0601GEA0N       20230101001455005000005000 0000000000002216   
0601GEA0N       20230101001460005000005000 0000000000002220   
0601GEA0N       20230101001465005000005000 0000000000002225   
0601GEA0N       20230101001470005000005000 0000000000002229   
0601GEA0N       20230101001475005000005000 0000000000002233   
0601GEA0N       20230101001480005000005000 0000000000002237   
0601GEA0N       20230101001485005000005000 0000000000002241   
0601GEA0N       20230101001490005000005000 0000000000002245   
0601GEA0N       20230101001495005000005000 0000000000002250   
0601GEA0N       20230101001500005000005000 0000000000002253   
0601GEA0N       20230101001505005000005000 0000000000002257   
0601GEA0N       20230101001510005000005000 0000000000002262   
0601GEA0N       20230101001515005000005000 0000000000002265   
0601GEA0N       20230101001520005000005000 0000000000002269   
0601GEA0N       20230101001525005000005000 0000000000002273   
0601GEA0N       20230101001530005000005000 0000000000002277   
0601GEA0N       20230101001535005000005000 0000000000002281   
0601GEA0N       20230101001540005000005000 0000000000002284   
0601GEA0N       20230101001545005000005000 0000000000002288   
0601GEA0N       20230101001550005000005000 0000000000002292   
0601GEA0N       20230101001555005000005000 0000000000002295   
0601GEA0N       20230101001560005000005000 0000000000002300   
0601GEA0N       20230101001565005000005000 0000000000002303   
0601GEA0N       20230101001570005000005000 0000000000002307   
0601GEA0N       20230101001575005000005000 0000000000002311   
0601GEA0N       20230101001580005000005000 0000000000002314   
0601GEA0N       20230101001585005000005000 0000000000002317   
0601GEA0N       20230101001590005000005000 0000000000002321   
0601GEA0N       20230101001595005000005000 0000000000002325   
0601GEA0N       20230101001600005000005000 0000000000002328   
0601GEA0N       20230101001605005000005000 0000000000002332   
0601GEA0N       20230101001610005000005000 0000000000002335   
0601GEA0N       20230101001615005000005000 0000000000002338   
0601GEA0N       20230101001620005000005000 0000000000002342   
0601GEA0N       20230101001625005000005000 0000000000002346   
0601GEA0N       20230101001630005000005000 0000000000002349   
0601GEA0N       20230101001635005000005000 0000000000002352   
0601GEA0N       20230101001640005000005000 0000000000002356   
0601GEA0N       20230101001645005000005000 0000000000002359   
0601GEA0N       20230101001650005000005000 0000000000002362   
0601GEA0N       20230101001655005000005000 0000000000002366   
0601GEA0N       20230101001660005000005000 0000000000002369   
0601GEA0N       20230101001665005000005000 0000000000002372   
0601GEA0N       20230101001670005000005000 0000000000002376   
0601GEA0N       20230101001675005000005000 0000000000002379   
0601GEA0N       20230101001680005000005000 0000000000002383   
0601GEA0N       20230101001685005000005000 0000000000002386   
0601GEA0N       20230101001690005000005000 0000000000002390   
0601GEA0N       20230101001695005000005000 0000000000002393   
0601GEA0N       20230101001700005000005000 0000000000002396   
0601GEA0N       20230101001705005000005000 0000000000002400   
0601GEA0N       20230101001710005000005000 0000000000002403   
0601GEA0N       20230101001715005000005000 0000000000002406   
0601GEA0N       20230101001720005000005000 0000000000002410   
0601GEA0N       20230101001725005000005000 0000000000002413   
0601GEA0N       20230101001730005000005000 0000000000002416   
0601GEA0N       20230101001735005000005000 0000000000002419   
0601GEA0N       20230101001740005000005000 0000000000002422   
0601GEA0N       20230101001745005000005000 0000000000002426   
0601GEA0N       20230101001750005000005000 0000000000002429   
0601GEA0N       20230101001755005000005000 0000000000002432   
0601GEA0N       20230101001760005000005000 0000000000002435   
0601GEA0N       20230101001765005000005000 0000000000002438   
0601GEA0N       20230101001770005000005000 0000000000002441   
0601GEA0N       20230101001775005000005000 0000000000002444   
0601GEA0N       20230101001780005000005000 0000000000002447   
0601GEA0N       20230101001785005000005000 0000000000002450   
0601GEA0N       20230101001790005000005000 0000000000002453   
0601GEA0N       20230101001795005000005000 0000000000002456   
0601GEA0N       20230101001800005000005000 0000000000002459   
0601GEA0N       20230101001805005000005000 0000000000002462   
0601GEA0N       20230101001810005000005000 0000000000002466   
0601GEA0N       20230101001815005000005000 0000000000002469   
0601GEA0N       20230101001820005000005000 0000000000002472   
0601GEA0N       20230101001825005000005000 0000000000002476   
0601GEA0N       20230101001830005000005000 0000000000002479   
0601GEA0N       20230101001835005000005000 0000000000002483   
0601GEA0N       20230101001840005000005000 0000000000002486   
0601GEA0N       20230101001845005000005000 0000000000002490   
0601GEA0N       20230101001850005000005000 0000000000002493   
0601GEA0N       20230101001855005000005000 0000000000002496   
0601GEA0N       20230101001860005000005000 0000000000002500   
0601GEA0N       20230101001865005000005000 0000000000002503   
0601GEA0N       20230101001870005000005000 0000000000002507   
0601GEA0N       20230101001875005000005000 0000000000002510   
0601GEA0N       20230101001880005000005000 0000000000002513   
0601GEA0N       20230101001885005000005000 0000000000002517   
0601GEA0N       20230101001890005000005000 0000000000002520   
0601GEA0N       20230101001895005000005000 0000000000002523   
0601GEA0N       20230101001900005000005000 0000000000002527   
0601GEA0N       20230101001905005000005000 0000000000002530   
0601GEA0N       20230101001910005000005000 0000000000002534   
0601GEA0N       20230101001915005000005000 0000000000002537   
0601GEA0N       20230101001920005000005000 0000000000002540   
0601GEA0N       20230101001925005000005000 0000000000002543   
0601GEA0N       20230101001930005000005000 0000000000002546   
0601GEA0N       20230101001935005000005000 0000000000002550   
0601GEA0N       20230101001940005000005000 0000000000002553   
0601GEA0N       20230101001945005000005000 0000000000002556   
0601GEA0N       20230101001950005000005000 0000000000002560   
0601GEA0N       20230101001955005000005000 0000000000002563   
0601GEA0N       20230101001960005000005000 0000000000002566   
0601GEA0N       20230101001965005000010000 0000000000002570   
0601GEA0N       20230101001975005000010000 0000000000002577   
0601GEA0N       20230101001985005000010000 0000000000002583   
0601GEA0N       20230101001995005000010000 0000000000002589   
0601GEA0N       20230101002005005000010000 0000000000002595   
0601GEA0N       20230101002015005000010000 0000000000002601   
0601GEA0N       20230101002025005000010000 0000000000002607   
0601GEA0N       20230101002035005000010000 0000000000002613   
0601GEA0N       20230101002045005000010000 0000000000002618   
0601GEA0N       20230101002055005000010000 0000000000002624   
0601GEA0N       20230101002065005000010000 0000000000002630   
0601GEA0N       20230101002075005000010000 0000000000002636   
0601GEA0N       20230101002085005000010000 0000000000002641   
0601GEA0N       20230101002095005000010000 0000000000002647   
0601GEA0N       20230101002105005000010000 0000000000002652   
0601GEA0N       20230101002115005000010000 0000000000002658   
0601GEA0N       20230101002125005000010000 0000000000002663   
0601GEA0N       20230101002135005000010000 0000000000002668   
0601GEA0N       20230101002145005000010000 0000000000002674   
0601GEA0N       20230101002155005000010000 0000000000002679   
0601GEA0N       20230101002165005000010000 0000000000002684   
0601GEA0N       20230101002175005000010000 0000000000002689   
0601GEA0N       20230101002185005000010000 0000000000002694   
0601GEA0N       20230101002195005000010000 0000000000002699   
0601GEA0N       20230101002205005000010000 0000000000002704   
0601GEA0N       20230101002215005000010000 0000000000002709   
0601GEA0N       20230101002225005000010000 0000000000002714   
0601GEA0N       20230101002235005000010000 0000000000002719   
0601GEA0N       20230101002245005000010000 0000000000002724   
0601GEA0N       20230101002255005000010000 0000000000002729   
0601GEA0N       20230101002265005000010000 0000000000002733   
0601GEA0N       20230101002275005000010000 0000000000002738   
0601GEA0N       20230101002285005000010000 0000000000002743   
0601GEA0N       20230101002295005000010000 0000000000002747   
0601GEA0N       20230101002305005000010000 0000000000002752   
0601GEA0N       20230101002315005000010000 0000000000002756   
0601GEA0N       20230101002325005000010000 0000000000002761   
0601GEA0N       20230101002335005000010000 0000000000002765   
0601GEA0N       20230101002345005000010000 0000000000002770   
0601GEA0N       20230101002355005000010000 0000000000002774   
0601GEA0N       20230101002365005000010000 0000000000002778   
0601GEA0N       20230101002375005000010000 0000000000002782   
0601GEA0N       20230101002385005000010000 0000000000002787   
0601GEA0N       20230101002395005000010000 0000000000002791   
0601GEA0N       20230101002405005000010000 0000000000002795   
0601GEA0N       20230101002415005000010000 0000000000002799   
0601GEA0N       20230101002425005000010000 0000000000002804   
0601GEA0N       20230101002435005000010000 0000000000002808   
0601GEA0N       20230101002445005000010000 0000000000002812   
0601GEA0N       20230101002455005000010000 0000000000002816   
0601GEA0N       20230101002465005000010000 0000000000002820   
0601GEA0N       20230101002475005000010000 0000000000002824   
0601GEA0N       20230101002485005000010000 0000000000002828   
0601GEA0N       20230101002495005000010000 0000000000002831   
0601GEA0N       20230101002505005000010000 0000000000002836   
0601GEA0N       20230101002515005000010000 0000000000002839   
0601GEA0N       20230101002525005000010000 0000000000002843   
0601GEA0N       20230101002535005000010000 0000000000002847   
0601GEA0N       20230101002545005000010000 0000000000002850   
0601GEA0N       20230101002555005000010000 0000000000002854   
0601GEA0N       20230101002565005000010000 0000000000002858   
0601GEA0N       20230101002575005000010000 0000000000002862   
0601GEA0N       20230101002585005000010000 0000000000002865   
0601GEA0N       20230101002595005000010000 0000000000002869   
0601GEA0N       20230101002605005000010000 0000000000002872   
0601GEA0N       20230101002615005000010000 0000000000002876   
0601GEA0N       20230101002625005000010000 0000000000002880   
0601GEA0N       20230101002635005000010000 0000000000002884   
0601GEA0N       20230101002645005000010000 0000000000002888   
0601GEA0N       20230101002655005000010000 0000000000002891   
0601GEA0N       20230101002665005000010000 0000000000002895   
0601GEA0N       20230101002675005000010000 0000000000002899   
0601GEA0N       20230101002685005000010000 0000000000002902   
0601GEA0N       20230101002695005000010000 0000000000002906   
0601GEA0N       20230101002705005000010000 0000000000002910   
0601GEA0N       20230101002715005000010000 0000000000002913   
0601GEA0N       20230101002725005000010000 0000000000002917   
0601GEA0N       20230101002735005000010000 0000000000002920   
0601GEA0N       20230101002745005000010000 0000000000002923   
0601GEA0N       20230101002755005000010000 0000000000002927   
0601GEA0N       20230101002765005000010000 0000000000002930   
0601GEA0N       20230101002775005000010000 0000000000002934   
0601GEA0N       20230101002785005000010000 0000000000002938   
0601GEA0N       20230101002795005000010000 0000000000002941   
0601GEA0N       20230101002805005000010000 0000000000002945   
0601GEA0N       20230101002815005000010000 0000000000002948   
0601GEA0N       20230101002825005000010000 0000000000002952   
0601GEA0N       20230101002835005000010000 0000000000002955   
0601GEA0N       20230101002845005000010000 0000000000002959   
0601GEA0N       20230101002855005000010000 0000000000002962   
0601GEA0N       20230101002865005000010000 0000000000002966   
0601GEA0N       20230101002875005000010000 0000000000002969   
0601GEA0N       20230101002885005000010000 0000000000002973   
0601GEA0N       20230101002895005000010000 0000000000002976   
0601GEA0N       20230101002905005000010000 0000000000002979   
0601GEA0N       20230101002915005000010000 0000000000002983   
0601GEA0N       20230101002925005000010000 0000000000002986   
0601GEA0N       20230101002935005000010000 0000000000002989   
0601GEA0N       20230101002945005000010000 0000000000002993   
0601GEA0N       20230101002955005000010000 0000000000002996   
0601GEA0N       20230101002965005000010000 0000000000002999   
0601GEA0N       20230101002975005000010000 0000000000003002   
0601GEA0N       20230101002985005000010000 0000000000003005   
0601GEA0N       20230101002995005000010000 0000000000003009   
0601GEA0N       20230101003005005000010000 0000000000003012   
0601GEA0N       20230101003015005000010000 0000000000003015   
0601GEA0N       20230101003025005000010000 0000000000003018   
0601GEA0N       20230101003035005000010000 0000000000003021   
0601GEA0N       20230101003045005000010000 0000000000003024   
0601GEA0N       20230101003055005000010000 0000000000003027   
0601GEA0N       20230101003065005000010000 0000000000003031   
0601GEA0N       20230101003075005000010000 0000000000003033   
0601GEA0N       20230101003085005000010000 0000000000003036   
0601GEA0N       20230101003095005000010000 0000000000003039   
0601GEA0N       20230101003105005000010000 0000000000003042   
0601GEA0N       20230101003115005000010000 0000000000003045   
0601GEA0N       20230101003125005000010000 0000000000003048   
0601GEA0N       20230101003135005000010000 0000000000003051   
0601GEA0N       20230101003145005000010000 0000000000003054   
0601GEA0N       20230101003155005000010000 0000000000003057   
0601GEA0N       20230101003165005000010000 0000000000003060   
0601GEA0N       20230101003175005000010000 0000000000003063   
0601GEA0N       20230101003185005000010000 0000000000003065   
0601GEA0N       20230101003195005000010000 0000000000003068   
0601GEA0N       20230101003205005000010000 0000000000003071   
0601GEA0N       20230101003215005000010000 0000000000003073   
0601GEA0N       20230101003225005000010000 0000000000003076   
0601GEA0N       20230101003235005000010000 0000000000003079   
0601GEA0N       20230101003245005000010000 0000000000003082   
0601GEA0N       20230101003255005000010000 0000000000003084   
0601GEA0N       20230101003265005000010000 0000000000003087   
0601GEA0N       20230101003275005000010000 0000000000003090   
0601GEA0N       20230101003285005000010000 0000000000003092   
0601GEA0N       20230101003295005000010000 0000000000003095   
0601GEA0N       20230101003305005000010000 0000000000003098   
0601GEA0N       20230101003315005000010000 0000000000003100   
0601GEA0N       20230101003325005000010000 0000000000003103   
0601GEA0N       20230101003335005000010000 0000000000003105   
0601GEA0N       20230101003345005000010000 0000000000003108   
0601GEA0N       20230101003355005000010000 0000000000003110   
0601GEA0N       20230101003365005000010000 0000000000003113   
0601GEA0N       20230101003375005000010000 0000000000003115   
0601GEA0N       20230101003385005000010000 0000000000003118   
0601GEA0N       20230101003395005000010000 0000000000003120   
0601GEA0N       20230101003405005000010000 0000000000003123   
0601GEA0N       20230101003415005000010000 0000000000003125   
0601GEA0N       20230101003425005000010000 0000000000003128   
0601GEA0N       20230101003435005000010000 0000000000003130   
0601GEA0N       20230101003445005000010000 0000000000003132   
0601GEA0N       20230101003455005000010000 0000000000003135   
0601GEA0N       20230101003465005000010000 0000000000003137   
0601GEA0N       20230101003475005000010000 0000000000003140   
0601GEA0N       20230101003485005000010000 0000000000003142   
0601GEA0N       20230101003495005000010000 0000000000003144   
0601GEA0N       20230101003505005000010000 0000000000003147   
0601GEA0N       20230101003515005000010000 0000000000003149   
0601GEA0N       20230101003525005000010000 0000000000003151   
0601GEA0N       20230101003535005000010000 0000000000003153   
0601GEA0N       20230101003545005000010000 0000000000003156   
0601GEA0N       20230101003555005000010000 0000000000003158   
0601GEA0N       20230101003565005000010000 0000000000003160   
0601GEA0N       20230101003575005000010000 0000000000003162   
0601GEA0N       20230101003585005000010000 0000000000003165   
0601GEA0N       20230101003595005000010000 0000000000003167   
0601GEA0N       20230101003605005000010000 0000000000003169   
0601GEA0N       20230101003615005000010000 0000000000003171   
0601GEA0N       20230101003625005000010000 0000000000003173   
0601GEA0N       20230101003635005000010000 0000000000003175   
0601GEA0N       20230101003645005000010000 0000000000003178   
0601GEA0N       20230101003655005000010000 0000000000003180   
0601GEA0N       20230101003665005000010000 0000000000003182   
0601GEA0N       20230101003675005000010000 0000000000003184   
0601GEA0N       20230101003685005000010000 0000000000003186   
0601GEA0N       20230101003695005000010000 0000000000003188   
0601GEA0N       20230101003705005000010000 0000000000003190   
0601GEA0N       20230101003715005000010000 0000000000003192   
0601GEA0N       20230101003725005000010000 0000000000003194   
0601GEA0N       20230101003735005000010000 0000000000003196   
0601GEA0N       20230101003745005000010000 0000000000003198   
0601GEA0N       20230101003755005000010000 0000000000003200   
0601GEA0N       20230101003765005000010000 0000000000003202   
0601GEA0N       20230101003775005000010000 0000000000003204   
0601GEA0N       20230101003785005000010000 0000000000003206   
0601GEA0N       20230101003795005000010000 0000000000003208   
0601GEA0N       20230101003805005000010000 0000000000003210   
0601GEA0N       20230101003815005000010000 0000000000003212   
0601GEA0N       20230101003825005000010000 0000000000003214   
0601GEA0N       20230101003835005000010000 0000000000003216   
0601GEA0N       20230101003845005000010000 0000000000003218   
0601GEA0N       20230101003855005000010000 0000000000003220   
0601GEA0N       20230101003865005000010000 0000000000003222   
