00SG               20231206                                                                                   
0601SGA0N       20240101000610100000005000 0000000050001037   
0601SGA0N       20240101000615100000005000 0000000050001043   
0601SGA0N       20240101000620100000005000 0000000050001049   
0601SGA0N       20240101000625100000005000 0000000050001054   
0601SGA0N       20240101000630100000005000 0000000050001060   
0601SGA0N       20240101000635100000005000 0000000050001065   
0601SGA0N       20240101000640100000005000 0000000050001071   
0601SGA0N       20240101000645100000005000 0000000050001078   
0601SGA0N       20240101000650100000005000 0000000050001084   
0601SGA0N       20240101000655100000005000 0000000050001090   
0601SGA0N       20240101000660100000005000 0000000050001096   
0601SGA0N       20240101000665100000005000 0000000050001102   
0601SGA0N       20240101000670100000005000 0000000050001108   
0601SGA0N       20240101000675100000005000 0000000050001114   
0601SGA0N       20240101000680100000005000 0000000050001119   
0601SGA0N       20240101000685100000005000 0000000050001125   
0601SGA0N       20240101000690100000005000 0000000050001131   
0601SGA0N       20240101000695100000005000 0000000050001136   
0601SGA0N       20240101000700100000005000 0000000050001142   
0601SGA0N       20240101000705100000005000 0000000050001147   
0601SGA0N       20240101000710100000005000 0000000050001152   
0601SGA0N       20240101000715100000005000 0000000050001157   
0601SGA0N       20240101000720100000005000 0000000050001162   
0601SGA0N       20240101000725100000005000 0000000050001168   
0601SGA0N       20240101000730100000005000 0000000050001172   
0601SGA0N       20240101000735100000005000 0000000050001177   
0601SGA0N       20240101000740100000005000 0000000050001182   
0601SGA0N       20240101000745100000005000 0000000050001187   
0601SGA0N       20240101000750100000005000 0000000050001192   
0601SGA0N       20240101000755100000005000 0000000050001196   
0601SGA0N       20240101000760100000005000 0000000050001201   
0601SGA0N       20240101000765100000005000 0000000050001205   
0601SGA0N       20240101000770100000005000 0000000050001210   
0601SGA0N       20240101000775100000005000 0000000050001214   
0601SGA0N       20240101000780100000005000 0000000050001221   
0601SGA0N       20240101000785100000005000 0000000050001225   
0601SGA0N       20240101000790100000005000 0000000050001230   
0601SGA0N       20240101000795100000005000 0000000050001234   
0601SGA0N       20240101000800100000005000 0000000050001238   
0601SGA0N       20240101000805100000005000 0000000050001242   
0601SGA0N       20240101000810100000005000 0000000050001248   
0601SGA0N       20240101000815100000005000 0000000050001253   
0601SGA0N       20240101000820100000005000 0000000050001258   
0601SGA0N       20240101000825100000005000 0000000050001264   
0601SGA0N       20240101000830100000005000 0000000050001269   
0601SGA0N       20240101000835100000005000 0000000050001274   
0601SGA0N       20240101000840100000005000 0000000050001279   
0601SGA0N       20240101000845100000005000 0000000050001285   
0601SGA0N       20240101000850100000005000 0000000050001290   
0601SGA0N       20240101000855100000005000 0000000050001295   
0601SGA0N       20240101000860100000005000 0000000050001300   
0601SGA0N       20240101000865100000005000 0000000050001304   
0601SGA0N       20240101000870100000005000 0000000050001310   
0601SGA0N       20240101000875100000005000 0000000050001315   
0601SGA0N       20240101000880100000005000 0000000050001320   
0601SGA0N       20240101000885100000005000 0000000050001325   
0601SGA0N       20240101000890100000005000 0000000050001330   
0601SGA0N       20240101000895100000005000 0000000050001334   
0601SGA0N       20240101000900100000005000 0000000050001339   
0601SGA0N       20240101000905100000005000 0000000050001344   
0601SGA0N       20240101000910100000005000 0000000050001349   
0601SGA0N       20240101000915100000005000 0000000050001353   
0601SGA0N       20240101000920100000005000 0000000050001358   
0601SGA0N       20240101000925100000005000 0000000050001362   
0601SGA0N       20240101000930100000005000 0000000050001367   
0601SGA0N       20240101000935100000005000 0000000050001371   
0601SGA0N       20240101000940100000005000 0000000050001376   
0601SGA0N       20240101000945100000005000 0000000050001380   
0601SGA0N       20240101000950100000005000 0000000050001384   
0601SGA0N       20240101000955100000005000 0000000050001390   
0601SGA0N       20240101000960100000005000 0000000050001394   
0601SGA0N       20240101000965100000005000 0000000050001399   
0601SGA0N       20240101000970100000005000 0000000050001403   
0601SGA0N       20240101000975100000005000 0000000050001407   
0601SGA0N       20240101000980100000005000 0000000050001412   
0601SGA0N       20240101000985100000005000 0000000050001416   
0601SGA0N       20240101000990100000005000 0000000050001420   
0601SGA0N       20240101000995100000005000 0000000050001424   
0601SGA0N       20240101001000100000005000 0000000050001428   
0601SGA0N       20240101001005100000005000 0000000050001432   
0601SGA0N       20240101001010100000005000 0000000050001437   
0601SGA0N       20240101001015100000005000 0000000050001441   
0601SGA0N       20240101001020100000005000 0000000050001445   
0601SGA0N       20240101001025100000005000 0000000050001449   
0601SGA0N       20240101001030100000005000 0000000050001453   
0601SGA0N       20240101001035100000005000 0000000050001458   
0601SGA0N       20240101001040100000005000 0000000050001462   
0601SGA0N       20240101001045100000005000 0000000050001466   
0601SGA0N       20240101001050100000005000 0000000050001469   
0601SGA0N       20240101001055100000005000 0000000050001473   
0601SGA0N       20240101001060100000005000 0000000050001478   
0601SGA0N       20240101001065100000005000 0000000050001482   
0601SGA0N       20240101001070100000005000 0000000050001485   
0601SGA0N       20240101001075100000005000 0000000050001489   
0601SGA0N       20240101001080100000005000 0000000050001492   
0601SGA0N       20240101001085100000005000 0000000050001497   
0601SGA0N       20240101001090100000005000 0000000050001500   
0601SGA0N       20240101001095100000005000 0000000050001504   
0601SGA0N       20240101001100100000005000 0000000050001507   
0601SGA0N       20240101001105100000005000 0000000050001511   
0601SGA0N       20240101001110100000005000 0000000050001516   
0601SGA0N       20240101001115100000005000 0000000050001519   
0601SGA0N       20240101001120100000005000 0000000050001522   
0601SGA0N       20240101001125100000005000 0000000050001525   
0601SGA0N       20240101001130100000005000 0000000050001529   
0601SGA0N       20240101001135100000005000 0000000050001535   
0601SGA0N       20240101001140100000005000 0000000050001539   
0601SGA0N       20240101001145100000005000 0000000050001543   
0601SGA0N       20240101001150100000005000 0000000050001546   
0601SGA0N       20240101001155100000005000 0000000050001550   
0601SGA0N       20240101001160100000005000 0000000050001556   
0601SGA0N       20240101001165100000005000 0000000050001560   
0601SGA0N       20240101001170100000005000 0000000050001563   
0601SGA0N       20240101001175100000005000 0000000050001567   
0601SGA0N       20240101001180100000005000 0000000050001570   
0601SGA0N       20240101001185100000005000 0000000050001576   
0601SGA0N       20240101001190100000005000 0000000050001580   
0601SGA0N       20240101001195100000005000 0000000050001583   
0601SGA0N       20240101001200100000005000 0000000050001587   
0601SGA0N       20240101001205100000005000 0000000050001590   
0601SGA0N       20240101001210100000005000 0000000050001595   
0601SGA0N       20240101001215100000005000 0000000050001599   
0601SGA0N       20240101001220100000005000 0000000050001602   
0601SGA0N       20240101001225100000005000 0000000050001605   
0601SGA0N       20240101001230100000005000 0000000050001609   
0601SGA0N       20240101001235100000005000 0000000050001614   
0601SGA0N       20240101001240100000005000 0000000050001617   
0601SGA0N       20240101001245100000005000 0000000050001620   
0601SGA0N       20240101001250100000005000 0000000050001626   
0601SGA0N       20240101001255100000005000 0000000050001629   
0601SGA0N       20240101001260100000005000 0000000050001632   
0601SGA0N       20240101001265100000005000 0000000050001637   
0601SGA0N       20240101001270100000005000 0000000050001640   
0601SGA0N       20240101001275100000005000 0000000050001643   
0601SGA0N       20240101001280100000005000 0000000050001646   
0601SGA0N       20240101001285100000005000 0000000050001651   
0601SGA0N       20240101001290100000005000 0000000050001654   
0601SGA0N       20240101001295100000005000 0000000050001657   
0601SGA0N       20240101001300100000005000 0000000050001662   
0601SGA0N       20240101001305100000005000 0000000050001664   
0601SGA0N       20240101001310100000005000 0000000050001667   
0601SGA0N       20240101001315100000005000 0000000050001672   
0601SGA0N       20240101001320100000005000 0000000050001675   
0601SGA0N       20240101001325100000005000 0000000050001678   
0601SGA0N       20240101001330100000005000 0000000050001682   
0601SGA0N       20240101001335100000005000 0000000050001685   
0601SGA0N       20240101001340100000005000 0000000050001688   
0601SGA0N       20240101001345100000005000 0000000050001692   
0601SGA0N       20240101001350100000005000 0000000050001695   
0601SGA0N       20240101001355100000005000 0000000050001697   
0601SGA0N       20240101001360100000005000 0000000050001702   
0601SGA0N       20240101001365100000005000 0000000050001705   
0601SGA0N       20240101001370100000005000 0000000050001707   
0601SGA0N       20240101001375100000005000 0000000050001711   
0601SGA0N       20240101001380100000005000 0000000050001714   
0601SGA0N       20240101001385100000005000 0000000050001717   
0601SGA0N       20240101001390100000005000 0000000050001721   
0601SGA0N       20240101001395100000005000 0000000050001723   
0601SGA0N       20240101001400100000005000 0000000050001726   
0601SGA0N       20240101001405100000005000 0000000050001730   
0601SGA0N       20240101001410100000005000 0000000050001732   
0601SGA0N       20240101001415100000005000 0000000050001735   
0601SGA0N       20240101001420100000005000 0000000050001737   
0601SGA0N       20240101001425100000005000 0000000050001741   
0601SGA0N       20240101001430100000005000 0000000050001744   
0601SGA0N       20240101001435100000005000 0000000050001747   
0601SGA0N       20240101001440100000005000 0000000050001751   
0601SGA0N       20240101001445100000005000 0000000050001754   
0601SGA0N       20240101001450100000005000 0000000050001757   
0601SGA0N       20240101001455100000005000 0000000050001762   
0601SGA0N       20240101001460100000005000 0000000050001765   
0601SGA0N       20240101001465100000005000 0000000050001767   
0601SGA0N       20240101001470100000005000 0000000050001772   
0601SGA0N       20240101001475100000005000 0000000050001775   
0601SGA0N       20240101001480100000005000 0000000050001778   
0601SGA0N       20240101001485100000005000 0000000050001782   
0601SGA0N       20240101001490100000005000 0000000050001785   
0601SGA0N       20240101001495100000005000 0000000050001788   
0601SGA0N       20240101001500100000005000 0000000050001792   
0601SGA0N       20240101001505100000005000 0000000050001795   
0601SGA0N       20240101001510100000005000 0000000050001797   
0601SGA0N       20240101001515100000005000 0000000050001802   
0601SGA0N       20240101001520100000005000 0000000050001804   
0601SGA0N       20240101001525100000005000 0000000050001807   
0601SGA0N       20240101001530100000005000 0000000050001811   
0601SGA0N       20240101001535100000005000 0000000050001814   
0601SGA0N       20240101001540100000005000 0000000050001816   
0601SGA0N       20240101001545100000005000 0000000050001821   
0601SGA0N       20240101001550100000005000 0000000050001823   
0601SGA0N       20240101001555100000005000 0000000050001826   
0601SGA0N       20240101001560100000005000 0000000050001830   
0601SGA0N       20240101001565100000005000 0000000050001832   
0601SGA0N       20240101001570100000005000 0000000050001835   
0601SGA0N       20240101001575100000005000 0000000050001837   
0601SGA0N       20240101001580100000005000 0000000050001841   
0601SGA0N       20240101001585100000005000 0000000050001844   
0601SGA0N       20240101001590100000005000 0000000050001846   
0601SGA0N       20240101001595100000005000 0000000050001850   
0601SGA0N       20240101001600100000005000 0000000050001852   
0601SGA0N       20240101001605100000005000 0000000050001855   
0601SGA0N       20240101001610100000005000 0000000050001859   
0601SGA0N       20240101001615100000005000 0000000050001861   
0601SGA0N       20240101001620100000005000 0000000050001863   
0601SGA0N       20240101001625100000005000 0000000050001867   
0601SGA0N       20240101001630100000005000 0000000050001869   
0601SGA0N       20240101001635100000005000 0000000050001871   
0601SGA0N       20240101001640100000005000 0000000050001875   
0601SGA0N       20240101001645100000005000 0000000050001877   
0601SGA0N       20240101001650100000005000 0000000050001880   
0601SGA0N       20240101001655100000005000 0000000050001883   
0601SGA0N       20240101001660100000005000 0000000050001886   
0601SGA0N       20240101001665100000005000 0000000050001888   
0601SGA0N       20240101001670100000005000 0000000050001891   
0601SGA0N       20240101001675100000005000 0000000050001894   
0601SGA0N       20240101001680100000005000 0000000050001896   
0601SGA0N       20240101001685100000005000 0000000050001899   
0601SGA0N       20240101001690100000005000 0000000050001901   
0601SGA0N       20240101001695100000005000 0000000050001903   
0601SGA0N       20240101001700100000005000 0000000050001907   
0601SGA0N       20240101001705100000005000 0000000050001909   
0601SGA0N       20240101001710100000005000 0000000050001911   
0601SGA0N       20240101001715100000005000 0000000050001913   
0601SGA0N       20240101001720100000005000 0000000050001917   
0601SGA0N       20240101001725100000005000 0000000050001919   
0601SGA0N       20240101001730100000005000 0000000050001920   
0601SGA0N       20240101001735100000005000 0000000050001924   
0601SGA0N       20240101001740100000005000 0000000050001926   
0601SGA0N       20240101001745100000005000 0000000050001928   
0601SGA0N       20240101001750100000005000 0000000050001931   
0601SGA0N       20240101001755100000005000 0000000050001933   
0601SGA0N       20240101001760100000005000 0000000050001935   
0601SGA0N       20240101001765100000005000 0000000050001938   
0601SGA0N       20240101001770100000005000 0000000050001940   
0601SGA0N       20240101001775100000005000 0000000050001942   
0601SGA0N       20240101001780100000005000 0000000050001945   
0601SGA0N       20240101001785100000005000 0000000050001947   
0601SGA0N       20240101001790100000005000 0000000050001949   
0601SGA0N       20240101001795100000005000 0000000050001952   
0601SGA0N       20240101001800100000005000 0000000050001954   
0601SGA0N       20240101001805100000005000 0000000050001956   
0601SGA0N       20240101001810100000005000 0000000050001959   
0601SGA0N       20240101001815100000005000 0000000050001961   
0601SGA0N       20240101001820100000005000 0000000050001963   
0601SGA0N       20240101001825100000005000 0000000050001966   
0601SGA0N       20240101001830100000005000 0000000050001968   
0601SGA0N       20240101001835100000005000 0000000050001969   
0601SGA0N       20240101001840100000005000 0000000050001973   
0601SGA0N       20240101001845100000005000 0000000050001975   
0601SGA0N       20240101001850100000005000 0000000050001977   
0601SGA0N       20240101001855100000005000 0000000050001981   
0601SGA0N       20240101001860100000005000 0000000050001983   
0601SGA0N       20240101001865100000005000 0000000050001985   
0601SGA0N       20240101001870100000005000 0000000050001987   
0601SGA0N       20240101001875100000005000 0000000050001991   
0601SGA0N       20240101001880100000005000 0000000050001993   
0601SGA0N       20240101001885100000005000 0000000050001995   
0601SGA0N       20240101001890100000005000 0000000050001999   
0601SGA0N       20240101001895100000005000 0000000050002001   
0601SGA0N       20240101001900100000005000 0000000050002003   
0601SGA0N       20240101001905100000005000 0000000050002006   
0601SGA0N       20240101001910100000005000 0000000050002008   
0601SGA0N       20240101001915100000005000 0000000050002011   
0601SGA0N       20240101001920100000005000 0000000050002014   
0601SGA0N       20240101001925100000005000 0000000050002016   
0601SGA0N       20240101001930100000005000 0000000050002018   
0601SGA0N       20240101001935100000005000 0000000050002021   
0601SGA0N       20240101001940100000005000 0000000050002023   
0601SGA0N       20240101001945100000005000 0000000050002025   
0601SGA0N       20240101001950100000005000 0000000050002029   
0601SGA0N       20240101001955100000005000 0000000050002031   
0601SGA0N       20240101001960100000005000 0000000050002033   
0601SGA0N       20240101001965100000005000 0000000050002036   
0601SGA0N       20240101001970100000005000 0000000050002038   
0601SGA0N       20240101001975100000005000 0000000050002040   
0601SGA0N       20240101001980100000005000 0000000050002043   
0601SGA0N       20240101001985100000005000 0000000050002045   
0601SGA0N       20240101001990100000005000 0000000050002047   
0601SGA0N       20240101001995100000005000 0000000050002050   
0601SGA0N       20240101002000100000005000 0000000050002052   
0601SGA0N       20240101002005100000005000 0000000050002054   
0601SGA0N       20240101002010100000005000 0000000050002055   
0601SGA0N       20240101002015100000005000 0000000050002059   
0601SGA0N       20240101002020100000005000 0000000050002060   
0601SGA0N       20240101002025100000005000 0000000050002062   
0601SGA0N       20240101002030100000005000 0000000050002065   
0601SGA0N       20240101002035100000005000 0000000050002067   
0601SGA0N       20240101002040100000005000 0000000050002069   
0601SGA0N       20240101002045100000005000 0000000050002072   
0601SGA0N       20240101002050100000005000 0000000050002074   
0601SGA0N       20240101002055100000005000 0000000050002075   
0601SGA0N       20240101002060100000005000 0000000050002078   
0601SGA0N       20240101002065100000005000 0000000050002080   
0601SGA0N       20240101002070100000005000 0000000050002082   
0601SGA0N       20240101002075100000005000 0000000050002085   
0601SGA0N       20240101002080100000005000 0000000050002087   
0601SGA0N       20240101002085100000005000 0000000050002088   
0601SGA0N       20240101002090100000005000 0000000050002091   
0601SGA0N       20240101002095100000005000 0000000050002093   
