00GE               20231025                                                                                   
0601GEA0N       20240101000845000000005000 0000000000001555   
0601GEA0N       20240101000850000000005000 0000000000001562   
0601GEA0N       20240101000855000000005000 0000000000001570   
0601GEA0N       20240101000860000000005000 0000000000001577   
0601GEA0N       20240101000865000000005000 0000000000001585   
0601GEA0N       20240101000870000000005000 0000000000001592   
0601GEA0N       20240101000875000000005000 0000000000001599   
0601GEA0N       20240101000880000000005000 0000000000001607   
0601GEA0N       20240101000885000000005000 0000000000001614   
0601GEA0N       20240101000890000000005000 0000000000001621   
0601GEA0N       20240101000895000000005000 0000000000001628   
0601GEA0N       20240101000900000000005000 0000000000001635   
0601GEA0N       20240101000905000000005000 0000000000001642   
0601GEA0N       20240101000910000000005000 0000000000001650   
0601GEA0N       20240101000915000000005000 0000000000001656   
0601GEA0N       20240101000920000000005000 0000000000001663   
0601GEA0N       20240101000925000000005000 0000000000001670   
0601GEA0N       20240101000930000000005000 0000000000001676   
0601GEA0N       20240101000935000000005000 0000000000001683   
0601GEA0N       20240101000940000000005000 0000000000001689   
0601GEA0N       20240101000945000000005000 0000000000001695   
0601GEA0N       20240101000950000000005000 0000000000001702   
0601GEA0N       20240101000955000000005000 0000000000001708   
0601GEA0N       20240101000960000000005000 0000000000001714   
0601GEA0N       20240101000965000000005000 0000000000001720   
0601GEA0N       20240101000970000000005000 0000000000001726   
0601GEA0N       20240101000975000000005000 0000000000001732   
0601GEA0N       20240101000980000000005000 0000000000001738   
0601GEA0N       20240101000985000000005000 0000000000001744   
0601GEA0N       20240101000990000000005000 0000000000001750   
0601GEA0N       20240101000995000000005000 0000000000001755   
0601GEA0N       20240101001000000000005000 0000000000001761   
0601GEA0N       20240101001005000000005000 0000000000001767   
0601GEA0N       20240101001010000000005000 0000000000001772   
0601GEA0N       20240101001015000000005000 0000000000001778   
0601GEA0N       20240101001020000000005000 0000000000001783   
0601GEA0N       20240101001025000000005000 0000000000001789   
0601GEA0N       20240101001030000000005000 0000000000001794   
0601GEA0N       20240101001035000000005000 0000000000001799   
0601GEA0N       20240101001040000000005000 0000000000001805   
0601GEA0N       20240101001045000000005000 0000000000001810   
0601GEA0N       20240101001050000000005000 0000000000001815   
0601GEA0N       20240101001055000000005000 0000000000001820   
0601GEA0N       20240101001060000000005000 0000000000001825   
0601GEA0N       20240101001065000000005000 0000000000001830   
0601GEA0N       20240101001070000000005000 0000000000001835   
0601GEA0N       20240101001075000000005000 0000000000001840   
0601GEA0N       20240101001080000000005000 0000000000001845   
0601GEA0N       20240101001085000000005000 0000000000001850   
0601GEA0N       20240101001090000000005000 0000000000001854   
0601GEA0N       20240101001095000000005000 0000000000001859   
0601GEA0N       20240101001100000000005000 0000000000001864   
0601GEA0N       20240101001105000000005000 0000000000001868   
0601GEA0N       20240101001110000000005000 0000000000001873   
0601GEA0N       20240101001115000000005000 0000000000001878   
