00VD               20231221                                                                                   
0601VDA0N       20240101000000100000240000 0000000000000000   
0601VDA0N       20240101000240100000005000 0000000000000009   
0601VDA0N       20240101000245100000005000 0000000000000010   
0601VDA0N       20240101000250100000005000 0000000000000011   
0601VDA0N       20240101000255100000005000 0000000000000012   
0601VDA0N       20240101000260100000005000 0000000000000013   
0601VDA0N       20240101000265100000005000 0000000000000014   
0601VDA0N       20240101000270100000005000 0000000000000015   
0601VDA0N       20240101000275100000005000 0000000000000028   
0601VDA0N       20240101000280100000005000 0000000000000038   
0601VDA0N       20240101000285100000005000 0000000000000048   
0601VDA0N       20240101000290100000005000 0000000000000060   
0601VDA0N       20240101000295100000005000 0000000000000077   
0601VDA0N       20240101000300100000005000 0000000000000096   
0601VDA0N       20240101000305100000005000 0000000000000111   
0601VDA0N       20240101000310100000005000 0000000000000130   
0601VDA0N       20240101000315100000005000 0000000000000145   
0601VDA0N       20240101000320100000005000 0000000000000168   
0601VDA0N       20240101000325100000005000 0000000000000188   
0601VDA0N       20240101000330100000005000 0000000000000206   
0601VDA0N       20240101000335100000005000 0000000000000225   
0601VDA0N       20240101000340100000005000 0000000000000242   
0601VDA0N       20240101000345100000005000 0000000000000269   
0601VDA0N       20240101000350100000005000 0000000000000291   
0601VDA0N       20240101000355100000005000 0000000000000310   
0601VDA0N       20240101000360100000005000 0000000000000330   
0601VDA0N       20240101000365100000005000 0000000000000352   
0601VDA0N       20240101000370100000005000 0000000000000378   
0601VDA0N       20240101000375100000005000 0000000000000402   
0601VDA0N       20240101000380100000005000 0000000000000421   
0601VDA0N       20240101000385100000005000 0000000000000444   
0601VDA0N       20240101000390100000005000 0000000000000461   
0601VDA0N       20240101000395100000005000 0000000000000486   
0601VDA0N       20240101000400100000005000 0000000000000506   
0601VDA0N       20240101000405100000005000 0000000000000524   
0601VDA0N       20240101000410100000005000 0000000000000543   
0601VDA0N       20240101000415100000005000 0000000000000560   
0601VDA0N       20240101000420100000005000 0000000000000585   
0601VDA0N       20240101000425100000005000 0000000000000607   
0601VDA0N       20240101000430100000005000 0000000000000624   
0601VDA0N       20240101000435100000005000 0000000000000646   
0601VDA0N       20240101000440100000005000 0000000000000662   
0601VDA0N       20240101000445100000005000 0000000000000685   
0601VDA0N       20240101000450100000005000 0000000000000705   
0601VDA0N       20240101000455100000005000 0000000000000720   
0601VDA0N       20240101000460100000005000 0000000000000739   
0601VDA0N       20240101000465100000005000 0000000000000754   
0601VDA0N       20240101000470100000005000 0000000000000775   
0601VDA0N       20240101000475100000005000 0000000000000792   
0601VDA0N       20240101000480100000005000 0000000000000806   
0601VDA0N       20240101000485100000005000 0000000000000823   
0601VDA0N       20240101000490100000005000 0000000000000837   
